stage,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,9.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.72,0,0,0,0,0,16.97,3.47,0,0,0,0
 10-12,0,0,0,0,0,0,11.2,27.3,0,0,0,0
 14-21,0,0,0,0,0,0,3.13,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.97,0,2.39,0,0,0
 36-46,0,0.6,2.19,0,1.95,0,8.2,0,0,4.64,0,0
 48-58,0,0,0.94,0,0.45,0,12.99,0,0,0.92,0,0
 60-70,0,0,3.13,0,1.21,0,19.04,0,0,0,0,5.13
 72-82,0,0,20.18,2.79,0,1.06,35.69,0,0,5.03,1.27,0
 84-94,0,0,16.64,0,0,0,31.04,0,0,2.85,0,0
 96-106,0,0,9.56,0.99,0,0,39.63,0,0,2,0,0
108-118,0,0,11.94,2,0,0,56.37,0,0,8.05,0,0
120,0,0,12.08,0,10.45,0,86.67,0,0,0,0,0
