stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  3-4,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,6.89,0,0,0,0
 24-34,0,0,0,0,0.67,0,0,23.09,0,0,0,7.41,0,0,0,0,0,1.85,0,0
 36-46,0,0,0,0,0,0,0,41.61,0,0,0,8.74,0,0,0,0,0,0.97,0,0
 48-58,0,0,4.07,0,0.82,0,0,25.28,0.61,0,0,27.99,0,0,0,0,0,1.6,0,0
 60-70,0,0,45.54,0,6.58,0,0,34.51,0,0,0,87.38,0,0.99,0,0,0,2.78,0,0
 72-82,0,0.71,162.22,0,8.34,0.56,0,21.89,1.02,0,0.67,175.4,0,0,0,0,0,3,0,0
 84-94,0,0,94.71,0,4.8,1.16,0,46.16,6.44,0,0,176.66,0,0,0,0,2.68,9.07,0,0.73
 96-106,0,1.02,112.38,0,10.72,2.67,0,19.18,2.44,0,0,156.7,0,0,0,0,8.85,5.5,1.14,3.85
108-118,0,2.17,139.1,0,8.45,1.42,0,44.03,0.66,0,0,290.37,0,0,0.78,0,0,0,0.89,4.83
120,0,0,182.11,1.11,8.22,16.71,0,9.76,0,1.15,0,723.92,0,5.76,0,0,0,1.95,0,0
