stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,9.32,1.07,0,0.82,0,0,0,0,1.07,0,0,0,0,0,0,0,4.06,0,0,3.03,8.98,0.93,0,0,1.91,0,9.72,1.27,0.88,0.89,7.69,2.8,7.18,0,0,0,0
 24-34,0,0,1.2,4.67,0,0,0.78,0,0,0,0,0.82,0.67,0,0,0,0,0,2.42,9.56,4.85,0,2.21,60.48,0.83,0,1.09,0,0,10.52,0,0,0,3.56,0,2.6,0,0,0,0
 36-46,0,0,0,4.47,0.61,0,5.15,0,0,0,5.48,0,0,0.75,0,0,0,0,0.58,11.46,0,0.86,5.87,67.15,0,0.75,0,0,0,22.5,0,0,0,0,0,18.5,0,1.07,0,0
 48-58,0,0,0,6.41,0,0,35.41,0.53,0,1.94,0,0,1.29,2.61,0,0,0,0,1.11,16.52,0.52,0.79,5.3,98.26,0.61,1.37,0,0,0,11.79,0,0,0,5.13,0,11.8,0,0,0,1.62
 60-70,0,0,0,9.72,2.73,0,42.93,0,3.8,0,3.7,0,0.89,0,1.88,0,0,0,0,33.05,0,0.82,0.91,87.3,0,0.88,6.11,0,0.71,15.05,0,0,0,0,0,13.84,1.31,0.73,0,2.87
 72-82,0,0,0,2.33,33.94,0,62.72,0,0,0.64,19.25,0.74,0.6,0,1.29,0,0.94,0,0,27.83,0,0,4.28,77.56,0,2.23,0,0,0.89,0.56,0,0,0,0,0,17.01,2.06,1.91,2.27,6.56
 84-94,0,0,0,4.93,31.5,0,26.25,0,2.46,2.54,21.88,0,0,0.8,0.56,1.25,0,0,0,48.13,0,0,3.52,60.99,0,0,0,0,0,27.71,0,0,0,0,0,6.5,0,0,0,1.89
 96-106,0,0,0,4.64,51.68,3.86,86.29,1.51,0.81,8.98,36.25,0,0,4.19,4.75,0,0,0,0,94.08,2.95,0,6.73,80.16,0,1.85,3.16,0,4.36,10.9,0,0,0,0,0,2.27,5.7,5.05,2.11,8.27
108-118,0,1.39,0,17.18,22.11,1.27,132.15,1.8,1.68,5.4,45.44,0.66,0,0.88,1.89,6.08,0,0,0,95.74,0,4.98,6.79,106.26,1.17,0.42,3.89,0,0,5.25,0,0,0,1.32,0,8.39,3.29,0,0,2.83
120,0,0,0,17.41,33.38,1.89,96.1,7.8,1.49,16.7,46.48,0,0,0,2.4,1.91,0,3.69,0,139.73,0,0,2.36,179.29,0,0,0,0,0,4.11,0,0,1.79,4.32,0,8.06,5.53,7.03,2.01,2.78
