stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,17.32,0,2.07,1.49,0,0,0,0,0,1,0
 36-46,0,0.98,0,0,0,0,0,55.52,0,3.18,0.66,0,0.93,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.43,121.59,0,0.45,0,3.05,0.83,0,0,1.46,0,0
 60-70,3.2,0,0,0,1.56,0,0,176.07,0,1.82,0,0.9,0,0,0,0,3.66,0
 72-82,0,9.21,0,0,1.33,0,0,182.37,0,2.43,0,2.7,0,0.57,0,0,0,0
 84-94,0,5.62,0,0,0,0,0,320.94,0,1.69,0,0.56,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,330.64,0.75,6.45,0,7.14,0,0,0,0,0,0
108-118,0,6.26,0,0,2.02,1.34,0,281.49,0,4.02,0.7,4.94,0,0,1.6,0,0,0.46
120,1.47,12.92,1.13,8.81,9.32,0,0,572.95,0,22.44,0,0,0,0,0,0,0,0
