stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,76.76,349.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0
  5-6,0,89.17,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,9.15,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.36,0,0,0,8.83,0,12.73,0,0,0,0
 10-12,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,70.68,3.88,0,0,19.62,3.1,0,17.83,0,0,0
 14-21,0,0,0,0.87,0,0,1.08,0,0,6.85,0,0,0,0,12.05,0,0,0,0.98,2.41,0,0,0.8,3.77,0
 24-34,0,0,0,0,0.59,0,0,0,0,13.98,0,0,0,0.99,5.13,0,8,0.79,0,6.03,0,0,0,5.34,0
 36-46,0,0,0,0,1.66,0.87,0,0.74,0,0.67,0.66,0,0,0,13.63,0,0,0,0,33.87,0,0,0,3.04,0
 48-58,0,0,0,0,1.47,3.58,0,3.41,0,0,1.76,0,0.38,0.64,15.23,6.45,0,6.26,0,6.93,0,0,0,2.96,0
 60-70,0,0,0,0,9.32,0,0,8.41,0,0,2.51,0,0,0,44.56,0,0,0,0,12.56,0,0,0,0,2.55
 72-82,0,0,0,0,16.22,1.9,0,3.11,0,0,5.12,0,0,0,21.94,0,0,0,0,4.15,0,0,0,0,0
 84-94,0,0,1.33,0,16.29,1.42,0,2.97,0.65,0,8.82,0,0,0,23.49,0,2.5,0,0,12.71,0,1.17,0,0,0
 96-106,0,0,0,0.65,17.06,7.84,0,0,0,0,0,3.23,0,0,9.86,0,2.58,0,0,12.86,0,0,0,0,0
108-118,0,0,0,2.4,1.82,4.82,0,5.1,0,0,0.45,0,0,0,22.88,0,0,0,0,20.51,0,0,0,0.96,0
120,0,0,0,2.47,1.26,12.09,0,0,0,0,0,0,0,0,34.9,0,0,0,0,8.86,0,0,0,0,0
