stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,246.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.21,161.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.09,0,0,0,0,0,0,0,13.25,0,0,0,0,0,0,0,0
 14-21,0,0,3.75,3.5,1.02,0,3.09,0,0,0,4.02,0,0,0,0,0,0,0,0,0,1.66,0,0,1.22,135.86,3.08,0,0,0,0,0,3.79,0,0,0,71.04,0,0,0,0,0
 24-34,0,0,0.66,4.42,0,0,3.24,0,4.81,0.74,6.26,0,2.27,0.82,0,1.16,0,1.52,0,2.06,7.06,0,0,8.86,1148.73,1.02,2.36,1.72,0,0,1.67,0,0,0,0.61,343.04,0,0,14.33,0,0
 36-46,0,0,0.98,0.94,0,0,32.87,0,9.19,0,7.18,0,0,1.64,0,0,0,8.07,0,0,7.48,0.56,0,13.5,3369.08,0,1.54,1.1,0,0,7.37,0,0,9.05,0,602.03,0,0,5.79,0,0
 48-58,0,0,0,11.62,0.53,0,335.29,0.42,1.4,3.94,47.52,0.38,0.49,0,8.38,0,0,1.21,2.23,0.4,32.72,0,0,0,5679.84,1.35,1.05,1.22,0,0,14.04,0,0,0.47,0,817.66,0,0,2.98,0,12.47
 60-70,0,0,0,13.19,2.83,0,649.48,0,2.24,0.7,34.3,1.82,0,0.76,2.82,0,3.19,5.71,0,0,39.23,0,10.97,0.96,7421.13,0,0,0.6,0,0,5.65,0,2.06,0,0,767.47,0,0,3.1,2.51,10.27
 72-82,0,0,0,22.86,3.25,0,822.04,0,0.7,1.61,74.08,0,0,1.72,0,0,2.18,2.42,0,0,62.02,0,5.6,7.85,7525.21,0.73,3.73,8.38,0,0,2.93,0,2.68,0,0,557.12,6.15,0,10.7,1.49,4.19
 84-94,0,0,2.45,26.16,1.12,0,729.92,1.34,16.25,1.27,93.24,8.94,0,0,0.91,0.61,1.27,1.35,22.77,0,97.68,0,10.74,2.85,5065.63,0,1.7,19.16,0,0,2.39,0,1.19,0,0,469.35,29.07,1.64,15.21,0,4.27
 96-106,0,0,4.34,32.17,14.1,0,630.3,0,0.59,2.04,82.78,1.67,0,2.28,0,0.95,1.5,5.67,3.01,0,83.51,0,0,2.58,4263.04,0,2.08,6.91,0,2.11,7.39,0,0,0,0,205.08,27.96,0,14.35,0,14.8
108-118,0,0,0.47,40.84,3.54,0,628.64,0,3.5,1,77.19,1.7,0,0,0,1.57,0,6.78,0,0,78.27,2.96,0,7.18,4740.01,0,2.34,7.83,0,3.67,2.97,0,0,0,0,106.59,35.85,2.78,3.64,2.14,3.99
120,0,0,0,62.32,8.42,13,994.41,0,1.33,3.67,156.66,1.21,0,0,7.89,2.99,0,1.12,2.42,0,115.65,0,0,1.82,9852.51,0,2,29.68,0,0,11.84,0,1.13,0,0,262.22,18.9,0,11.68,10.35,0
