stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.52,726.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.59,0,0,0,0,0,0,0,0,0,0
  5-6,59.58,999.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.04,0,0,0,17.88,0,27.64,0,0,0,0,0,0,0,0,0,0
  7-9,19.49,37.16,40.54,0,0,0,51.71,0,0,0,0,0,31.79,0,0,0,0,0,0,0,0,0,0,0,824.08,19.51,0,0,264.4,0,0,6.2,0,0,0,0,0,0,0,0,0
 10-12,0,20.72,33.9,0,0,0,42.89,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,555.94,13.64,0,0,155.68,0,5.07,0,0,57.13,0,0,0,0,0,0,0
 14-21,0,0,2.87,44.26,17.14,0,26.02,0,0,0,14.66,1.29,6.34,4.33,0,1.35,0,0,0,0,28.99,0,0,12.29,532.9,7.48,4.84,0,9.25,0,13.35,0,45.5,3.34,1.24,21.11,154.78,0,0,0,0
 24-34,0,0.83,0.59,39.06,24.46,0,418.88,0,0,0.74,38.98,0,1.15,5.97,1.92,3.31,2.67,1.55,11.81,3.89,185.65,0,3.34,45.39,2842.53,6.04,11.63,18.18,0,0,21.48,0,0,0.93,0,5.18,499.66,0,16.27,0,1.6
 36-46,0,0,0.56,39.77,22.58,0,1019.95,0,3.36,0.8,37.92,0,0,3.44,3.37,2.43,2.15,0.57,1.55,0,125.14,0,2.14,25.75,2174.85,13.67,11.24,6.77,0,0,6.65,0,1.63,1.21,0,0,344.38,0,43.28,0,0
 48-58,0,0,0,32.78,8.9,0,1165.67,0.53,2.05,1.82,94.99,0.5,0,1.19,1.91,12.18,10.48,1.05,1.42,0.56,156.44,0,16.42,20.51,1337.74,2.38,12.32,2.08,0,0,7.75,0,0,1.07,0,0,149.7,0,11.87,0,5.4
 60-70,0,0,0,40.26,17.57,0,783.43,0,1.07,1.38,73.01,2.92,0,0,14.2,0,1.82,3.69,3.59,5.29,122.85,0,39.95,18.2,749.29,4.99,3,5.19,0,1.19,0,0,0,0,0,0,58.42,0,31.03,0,0
 72-82,0,0,0,19.82,42.56,0,255.69,0,0,4.05,44.54,5.47,0,1.05,0.72,2.2,0,0,0,0,79.09,0,10.94,12.15,308.34,0,1.92,3.25,0,0,1.19,0,0,0,0,0,9.74,0,12.11,0,8.28
 84-94,0,0,0,18.27,36.69,0,182.16,0.79,0.74,1.69,55.08,6.53,0,0,8.43,2.89,1.96,0.96,0,0,138.03,0.61,12.28,8,236.26,1.11,2.21,0,0,0,1.88,0,0,0.82,0,0,5.97,0.57,8.85,2.14,0
 96-106,0,0,0,2.09,105.01,0.8,77.68,0,0,0,34.75,3.36,0,0,2.06,1.06,0,0,0,0,43.78,0,0.68,6.1,129.55,0.57,0.81,1.25,0,0,2.76,0,0,0,0,0,6.26,0,6.93,0,0
108-118,0,0,0,13.76,40.61,0,141.18,0,0,1.47,33.9,0.62,0,0,9.19,0.68,0,0,1.5,0.78,27.73,0,2.46,7.13,185.59,2.56,0.53,0,0,0,3.41,0,0,0,0,0,0.78,1.79,6.31,0.5,0.49
120,0,0,0,15.22,59.82,1.71,453.92,0,1.45,0,55.7,9.34,0,0,20.07,2.46,0,0,0,0,74.16,0,0,14.91,472.17,0,1.31,6.57,0,0,1.68,0,0,0,0,0,0,0,38.91,0,0
