stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,37.87,777.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.92,0,0,0,0,0,0,0,0,0
  5-6,42.57,552.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.71,6.43,0,30.32,0,0,0,30.19,0,0,0,0,0,163.92,0,0,0,0,0,0,0,0,0,0,0,285.23,22.89,0,0,114.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.22,0,48.84,0,0,0,46.55,0,0,0,0,0,87.2,0,0,0,0,0,0,0,0,0,0,0,656.64,14.8,0,0,179.21,0,0,0,0,15.45,0,0,0,0,0,0
 14-21,0,0,0,3.19,6.77,1.05,0,3.45,0,0,0,2.26,2.16,2.66,0,3.42,2,0,0,0,0,7.63,0,0,2.93,61.05,1.23,0.98,2.01,2.56,0,0,0,5.12,0,0.84,21.03,0,0,1.09,0
 24-34,0,0,0,0.7,3.34,2.49,0,9,0,0,0,2.19,0,0,4.16,0.64,2.12,0,0,0,0,11.69,2.37,0,1.58,118.09,4.68,1.03,0,0,0,7.7,0,0,0,0.65,25.38,0,0,5.88,0
 36-46,0,0,0,0,1.63,1.91,0,27.88,4.15,0,0,26.4,0,0,0,2.99,4.45,0,1.61,0,1.76,22.76,3.5,0,6.32,127.91,11.82,0.6,1.31,0,0,4.75,0,0,0.86,0,24.84,0,0,1.5,0
 48-58,0,0,0,0,2.72,0.42,0,41.37,0.51,4.27,1.23,35.13,0,0,1.29,20.34,0,0,0,3.6,3.21,42.15,0.37,0.45,3.52,74.1,0,0.37,1.7,0,0,2.98,0,0,0,0,21.51,0,0,3.52,0
 60-70,0,0,0,0,4.42,2.83,0,61.31,0,1.99,2.82,57.52,0,0,1.5,23.69,0,0.67,0,0,1.46,56.31,0,1.28,3.54,40.12,0,0,1.75,0,0,9.4,0,0,0,0,23.33,0,1,5.01,0
 72-82,0,0,0,0,9.1,8.41,0,42.1,0.49,0.5,1,41.61,1.95,0.52,0.68,6.58,0,0,1.17,0,7.1,42.99,0,7.96,3.11,19.11,0,3.88,4.49,0,0.77,8.2,0,0,0,0,12.1,0,0.51,23.63,1.41
 84-94,0,0,1.55,0,10.81,18.42,0,34.33,0,0.86,1.03,13.06,1.78,0,0.78,9.4,1.68,2.09,2.26,0,10.74,44.29,1.42,0.76,3.36,43.41,0,0,3.34,0,3.32,34.73,0,0,0,0,4.83,0.71,0,9.18,2.71
 96-106,0,0,0,0,8.5,16.44,0,34.36,0,0,0.82,49.33,5.48,1.06,0,14.38,0,0.72,1.7,0,0.71,57.33,3,3.31,1.87,30.04,0,0.63,5.75,0,3.21,30.91,0,0,0,0,0,0,0,11.61,1
108-118,0,0,0,0,10.1,14.35,1.06,11.4,0.55,1.2,0.53,42.71,1.64,0,0.69,18.38,0,2.12,1.77,3.03,0,48.03,1.18,0,0,34.92,0.52,0.48,1.66,0,0,21.33,0,0,0,0,0,0,0.57,6.06,0
120,0,0,0,0,8.29,2.44,0,21.06,0,0,0,71.03,5.51,0,0,16.75,0,0,0,0,0,11.16,1.15,2.08,8.85,59.92,6.47,0,1.29,0,0,35.19,2.5,0,0,0,0,1.99,0,0,0
