stage,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,9.09,3.27,0,0
 10-12,0,0,0,10.06,0,0,0
 24-34,0,0,0,2.61,0,0,0
 36-46,0,0,1.27,0.62,0,0.85,0
 48-58,0,1.44,0,0.93,0,0,0.72
 60-70,4.2,0,0,0,0,0,0
 72-82,0,0,0,0.88,0,0,0
 96-106,0,1.55,0,0,0,0,0
120,0,2.87,0,0,0,0,0
