stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0,0,0,0,0,0,0
 14-21,8.08,0,0,0,0,4.05,0,0,0,0.82,0,0.84,8.62,0,0,0,13.67,0.92,0,4.69,2.05,0,1.2,0
 24-34,0,0,1.29,0,0,1.35,0,0,2.61,1.03,0,0.71,9.22,0,0,0,12.1,0,0,0,0.99,0,0,1.18
 36-46,0,1.77,0,0,0,0,1.49,0,0,0,0,0,6.3,4.59,0.75,0,7.47,0,0,0,1.59,0,0,0
 48-58,0,2.85,0,0,0,0,0,0,0.83,0,0,0,9.35,0,0,0,1.01,0,0,0,0.97,0,0,0
 60-70,0,0.92,0,0,0,0,0.6,0,2.13,3.37,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,6.27,0,0.77,0,2.09,0.72,0,1.32,0,1.04,0.53,3.88,0,0,0,0,0,0,0,0.64,0,0,0
 84-94,0,0,0,0.64,3.05,4.34,0,0,0.74,1.27,0,2.34,0.64,0,0,0,0.82,0,1.46,0,0.65,0.55,0,0
 96-106,0.73,3.95,0,0,0.67,3.05,0,0,0,0,0,0,22.76,0,2.47,0,3.04,0,0,0,0,0,0,0
108-118,2.61,3.37,1.02,0,0.47,2.57,0,1.44,0,0,0,0.97,2.89,0,0,0,0.47,0,0,0,0,0,0,0
120,2.29,0,0,0,2.67,13.5,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0
