stage,epidermis,erythrocytes,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,10.52,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,1.5
 24-34,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,4.52
 36-46,0,0,0,0,0,0,0,0,0,0,1.23,0,1.79,1.93,0,0,0,0,0,0.61,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,1.51,0.4
 60-70,0,0,0,0,0,0.69,0,0,0,0,2.31,0,0,1.43,0,0,0,0,0,1.81,0
 72-82,0,1.75,0,0,0,3.16,0,0,0,1.89,3.43,0,0.73,1.66,1.33,0,0,0,0,0,1.25
 84-94,0,0,0,2.09,0,8.84,0.59,0,0,0,0,0,0,9.22,0.95,0,0,7.54,0,0,0.8
 96-106,7.28,0.67,1.4,2.26,1.35,20.13,0.62,0,0.63,0.75,0,0,0,2.47,0,0,0,5.97,0,0,9.85
108-118,4.08,0.42,0,5.96,1.93,7.34,0,0,0.5,0,7.63,0,2.85,2.54,0,0,2.52,7.93,0,0,14.81
120,13.43,0,0,0,1.24,11,0,1.84,0,0,0,3.22,0,6.56,13.79,0,0,8.79,0,0,2.57
