stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,275.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.13,16.66,0,0,0,0,18.66,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,187,0,0,0,111.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.04,0,10.35,33.23,0,0,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0,187.62,7.07,0,0,92.5,0,0,3.03,0,7.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.81,6.77,2.02,0,0,0,0,0,1,0,0,0.81,0,0,0,0,5.06,0,0,3.21,82.8,0,0,4.26,0.95,0,0,0,11.14,0.88,0,5.08,29.78,0,0,0,0,3.62
 24-34,0,0,1.61,0,2.64,0,6.34,0,0,1.24,3.66,0,0,0,0,0,0,0,0,17.42,0,0,7.64,169.5,0,2.05,0.65,0,0,5.68,0,0,0,0,2.92,42.19,0,0,1.22,0,0
 36-46,0,0,0,0,0,0,44.02,0,0,0,10.62,0,0,0.67,0,0,0,0,0,30.44,0,0,1.41,285.9,1.31,2.71,0.61,0,0,9.56,0,0,0,0,0,71.84,0,0,3.7,0,18.92
 48-58,0,0,0,0.43,5.95,0,58.2,0.6,0.93,0.44,12.36,0,0,1.1,0,0,0,0,0,17.66,0,0,1.85,227.92,3.07,5.69,0.74,0,0.61,14.4,0,0,0,0,0,57.75,0,0,0,0,3.62
 60-70,0,0,0.7,0,7.45,0,152.97,0,12.56,4.91,23.16,0,0,0,1.02,0,0,0,4.38,14.39,0,1.51,1.8,362.99,0,0,0.87,0,4.91,4.07,0,0,0,0,0,66.3,0,1.34,2.79,0,17.24
 72-82,0,0,0.62,0,2.67,0.74,125.41,0,0,1.19,13.39,0.58,0,0.59,0,1.97,0,0,0,17.6,0,0,2.5,200.39,0,0.75,2.27,0,0,1.99,0,0,1.23,0,0,37.21,0,0,0,0,1.41
 84-94,0,0,2,0,7.28,0,67.77,2,0,0.73,8.95,2.07,0,3.98,0,0,0.81,0,0,23.59,0,3.22,0,118.51,0,2.76,0,0,0,9.8,0,0,0,0.61,0,16.11,1.01,1.13,0.8,0,0.64
 96-106,0,0,0.95,0,3.42,0.68,70.6,0.93,0,0,5.19,2.31,0,3.72,1.89,0.99,0,5.9,0,18.52,0,2.94,1.66,106.06,0,1.76,2.35,0,0,10.2,0,0,0,0,0,0.99,0,0.72,0.62,4.5,9.68
108-118,0,0,0.62,0,2.33,3.06,70.39,0,0,0,9.33,1.69,0,2.17,2.06,1.01,0,0,1.36,20.07,4.8,1.29,1.08,131.85,0,4.37,0.83,0,1.31,8.36,0,0,0,0,0,5.15,0,0.82,6.24,1.34,8.4
120,0,0,2.94,0,2.81,1.07,41.32,0,0,0,5.17,0,0,4.96,0,0,2.39,0,0,29.54,0,0,0,253.4,0,15.55,0,0,0,6.76,0,0,0,0,0,0,0,0,0,5.15,0
