stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.77,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,66.53,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0.74,0,0,0,0
 36-46,0,0,0,0,0,23.41,0,0,6.24,0,0,0,0,0,0,0,10.43,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,2.54,0,0,0,0
 48-58,0,0,0,0,0,18.42,0,5.12,106.46,0.66,0,0,0,0,0,0,23.48,0,0,0,0,21.27,17.35,0,0,0,0,0,0,0,0,0.49,0,1.29,0,0
 60-70,0,0,2.48,0,0,21.59,0,6.08,482.7,20.5,0,0,0,0,0,0,42.97,0,0.73,0,0,14.8,15.72,0,0,0,0,0,0,0,0,12.18,0,0,0,10.22
 72-82,0,0,9.33,4.81,0,31.88,0,29.97,1216.71,62.64,11.43,0,0,0,0,0,43.29,0,6,1.52,0,20.98,20.94,0,0,0,0,0,2.75,9.22,0,3.27,0,3.32,5.8,0
 84-94,0,0,1.94,0,0,43.57,0,34.7,661.51,44.44,10.3,0,0.77,0,7.78,0,51.73,0,1.1,0,0,2.27,20.67,0,0,0,0,0,0,18.57,0,3.7,0,0,0,0
 96-106,0,3.03,20.31,26.67,0,92.79,0.56,158.02,1732.3,140.66,631.27,2.47,5.63,3.7,0.59,0.82,1698.75,0,76.52,12.22,0,2.92,378.6,1.43,9.9,5.17,0,0,37.12,426.54,0.74,8.84,1.93,19.15,9.66,11.24
108-118,0,0.52,5.35,2.7,1.09,138.42,1.01,76.45,2023.79,133.58,1847.24,0,8.23,0,1.55,0.6,3858.84,2.54,99.89,0.77,1.61,52.64,355.67,1.18,3.19,3.42,0,2.78,15.85,1258.98,0,0.58,0,3.56,2.72,7.36
120,2.37,22.44,10.91,9.87,1.71,195.79,0,41.37,3656.46,372.44,2922.08,0,10.69,0,11.74,0,4202.89,0,85.89,2.51,0,6.4,622.22,8.06,12.21,14.16,0,0,42.46,1633.91,1.21,21.07,3.03,5.47,0,0
