stage,eye,immune,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow.muscle,spinal.cord,taste
 14-21,0,0,0,0,0,0,1.51,0,0,0,0,0
 24-34,0,0,0,0,0,1.71,4.8,0,0,0,0,0
 36-46,0,0,0,0.6,0,5.15,312.62,0,0,0,0,0
 48-58,0.5,0.37,5.25,3.2,0.79,1.05,284.12,0,4.54,0,1.44,0
 60-70,0,0,0,1.34,0,0.73,0,6.25,0,0,0,0
 72-82,0,0,0,0,0,0,240.71,0,0,0,0,0
 84-94,0,0,0,0,0,3.08,319.03,0.65,0,0,0,0
 96-106,0,0,0,0,0,0,441.05,0,0,0.57,0,0
108-118,0,0,0,0,0,0,9.1,0,0,0,0,1
120,0,0,0,0,0,0,84.07,0,0,0,0,0
