stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.83,0,0,0.83,0,2.82,0,0,0
 24-34,0,1.29,0.95,0,0,0,0,0,0.59,0,0,0,5.11,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.51,1.54,0,0,0,44.58,0,0,2.25,0,0
 48-58,0.45,0.56,0,0,0,0,1.1,0,2.62,0,0,0,16.05,0,0,0.76,0,0
 60-70,0,3.32,0,0,0,0,0,0,5.36,0,0,0,17,0,0,0,0,0
 72-82,0,0.73,0,0,0,0,0,0,5.54,1.27,0,2.25,11.14,0,0,0,0,0
 84-94,0,0,0,0,0.87,0,0,0,6.29,0,0.84,0,10.1,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,12.64,3.4,0,0,14.41,0,0,0,0,0
108-118,0.46,0,0,1.28,0,0,0,0,9.41,0,0,2.5,14.85,0,0,0,6.3,0.6
120,0,0,0,0,1.68,1.15,0,0,15.04,0,0,3.15,2.8,0,0,0,0,0
