stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,49.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,6.22,0,2.93,1.57,0,0
 24-34,0,1.25,0,0,0,0.62,0,0,0,0.82,0.69,0.99,0,0,0.66,1.4,0
 36-46,0,0.77,0,0,0,0,0,0,4.73,2.3,0.83,0,0,0.95,0.76,0,0
 48-58,0,6.21,0,0.59,7.28,0,0,0,0,8.52,0,5.36,0,2.25,1.09,0,0
 60-70,0,0.64,0,0,0,0,5.73,0,0,0.58,0.58,1.33,0,0.63,0,1.48,0
 72-82,0,0,6.73,0,0,0,2.36,1.28,0,1.42,0,1.55,0,0,0,0,0
 84-94,0,0,0,0,0.55,0,0,0,0,1.78,0,1.57,0,0.99,0,3.29,0
 96-106,0,0,0,0,0,0,0,0,0,2.65,0,2.45,0,0,0,0,0
108-118,0,0,6.85,0.46,0,0,0,0,1.42,0,0,0,0,0,0,2.51,0
120,0,0,15.24,0,0,0,11.42,2.33,0,15.16,1.04,14.49,1.37,1.37,0,0,1.59
