stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,37.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,3.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0.86,2.44,0,0,0,0
 24-34,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.76,0,0,0,0,0,0,0,13.32,0,0,0,0
 36-46,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7,0,0,0,0,0,0,0,33.91,0,0,0,0
 48-58,0,0,0,0,0,22.71,0,0,0,0.52,0,0,0,0,0,0,0,0,0,79.78,0,1.04,0,0,0,0.47,0,41.09,0,0,0,0
 60-70,0,0,0,0,0,23.27,0,0,0,3.19,2.27,0,0,0,11,0.93,0,0,0,92.03,0,0,0,0,0,0,0,26.33,0,0,0,0
 72-82,0,0,0,0,1.16,10.45,0,0,0,2.59,56.59,0,0,0,0,4.72,0,0,0,60.56,0,0,0,0,0,0,0,16.72,0.95,0,0,0
 84-94,0,1.43,0.69,0,0,17.72,0,0,0,0,105.26,0,0,0,0,2.87,0,0,0,57.48,0,0,0,0,0,0,0,6.49,0,0,0.96,0
 96-106,0,9.07,0.99,12.56,0.97,42.58,0,4.94,0,6.81,908.56,0.59,0,0,1.13,9.88,0,0.69,1.42,127.92,0,0,0.68,0,1.54,15.2,0,2.18,0,3.08,0,0
108-118,0,0,9.63,1.92,5.72,43.53,4.89,0.55,3.36,4.18,1968.74,0,0.81,0.66,23.03,11.68,0,0.83,1.97,116.27,0,0,2.37,0,0,7.08,0,13.16,0,0,0,2.91
120,0,0,5.42,3.83,0,52.72,0,1.49,0,11.7,1837.52,1.6,0,0,79.83,9.47,1.1,0,0,280.75,0,0,9.06,0,0,7.25,0,41.55,0,0,0,0
