stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,129.28,3514.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.15,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.27,1968.32,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.45,0,0,0,9.77,0,7.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,40.9,39.49,0,90.42,0,0,158.23,0,0,0,0,37.43,0,0,0,0,0,0,0,0,0,0,0,1308.71,100.94,0,0,390.78,0,5.76,26.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,80.86,0,86.61,0,29.5,146.4,0,0,0,0,19.31,0,0,0,0,0,0,0,0,0,0,0,1852.95,96.55,0,0,555.35,0,8.51,6.03,0,103.04,0,0,24,0,0,0,0,0
 14-21,0,0,4.32,0.93,78.93,5.28,8.63,0,0,37.67,2.23,0,1.7,0,0.92,0,0,0,0,28.83,0,0,20.99,320.78,6.76,19.18,7.39,4.79,0,0,0.86,26.01,15.9,0,27.46,259.82,0,0,1.98,0,0
 24-34,0,0,0.61,1.46,16.47,0.83,39,1.31,0,42.39,0,0,1.18,0,0,0,4.8,0,1.09,41.36,0,0,14.97,455.8,0.73,70.06,11.41,0,0,3.37,0,0,2.64,0,4.36,232.95,0,0,9.16,0,0
 36-46,0,0,0.95,0,8.53,0.72,179.49,1.19,6.43,43.91,0.67,0,1.3,1.27,0,0,2,0.83,0,46.96,0,0,8.78,438.29,0,53.97,0.72,0,0.97,9.37,0,0,4.34,0,0,239.29,0,0,1.37,0,0
 48-58,0,0,0,0,3.46,1.12,342.15,4.37,0,56.86,0,0,0.45,0,2.63,0,1.09,6.33,0,44.59,0.8,1.44,10.49,374.39,0,35.68,1.77,0,0,0,0,0,2.74,0.73,0,127.59,0,1.52,2.29,0,3.12
 60-70,0,0,0.91,0,4.48,0,652.52,0.74,3.17,66.15,1.38,0,0.75,0,0,0,2.81,0,4.36,68.47,0,0,9.19,380.65,0,31.58,4.05,0,0,1.32,0,0,0,0,0,90.07,0,0.9,2.93,0.9,7.81
 72-82,0,0,4.35,0,6.02,0,431.52,0,0,64.14,10.45,0,0.82,0,0,0,4.65,0,0,88.5,0,2.8,8.08,379.73,1.26,50.88,4.9,0,0.84,0,0,0,0,0,0,50.26,0.53,2.11,6.98,3.93,0
 84-94,0,0,4.61,1.04,3.51,0,440.06,0.63,9.15,51.51,6.53,0,2.62,0,0.69,3.75,4.83,0.89,0,70.21,0,1.65,2.58,248.1,0.99,21.59,8.72,0,0,1.33,0,0,0.7,0,0,37.46,0,3.3,2.25,6.75,0
 96-106,0,0,2.27,0,13.47,0.62,312.08,5.71,0,64.14,11.56,0,0.78,0.78,0,1.05,6.67,4.79,2.83,66.14,0,1.47,6.53,210.98,0,42.47,6.27,0,4.58,0.92,0,0,1.71,0,0,34.45,0,5.57,9.32,2.82,0.72
108-118,0,0,4.58,0.61,9.33,0,220.55,4.12,0.79,52.96,4.54,0,0,0,0,8.14,6.88,0,5.1,58.3,0,6.28,2.18,290.35,0,26.55,14.23,0,1.63,0,0,0,0,0,0,17.04,1.06,1.51,3.11,1.59,1.39
120,1.12,0,0,0,27.18,1.13,211.01,11.32,2.17,86.79,12.5,0,5.84,0,0,4.78,7.06,4.47,0,77.47,1.1,0,1.54,319.29,0,20.59,14.81,0,0,1.04,0,0,7.82,0,0,17.72,0,2.93,9.38,5.05,0
