stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,0,2.93,0,1.08,0,0,0,0,0,0,0,1.84,0,0,27.01,0,0,4.29,0,4.85,0,0,0
 24-34,0,0,2.25,0,42.24,1.86,1.12,0,1.36,0.87,0,0,0,0,12.51,0,2.05,270.72,2.45,3.01,0,0.77,39.3,2.05,0,2.31
 36-46,0,0,4.26,0.73,90.39,0,5.88,0,0,2.69,0,0,0,0,23.74,0,1.19,250.37,5.18,7.35,0,0,21.92,0,0,0
 48-58,0,0,10.49,5.24,193.63,0,7.95,1.3,0,0,4.37,8.21,1.59,0,30.41,35.11,0.94,260.33,1.22,6.1,0,0,10,5.79,0,0
 60-70,0,0.65,15.93,7.98,230.99,3.49,25.37,0,0,6.76,0,2.01,1.2,0,45.79,0,0.68,168.18,0,4.63,0,0,4.75,1.99,1.54,0
 72-82,0,0,9.26,0,12.94,0,1.26,0,0,0,0.51,0,0,6.91,11.22,0,1.31,36.63,0.75,2.48,0,0,0,1.36,0,0
 84-94,0,0,0,0,12.67,0,1.14,1.73,0,0,0,0,0,0,16.74,1.91,0.93,18.85,0,0,0,0,0,1.1,0,0
 96-106,0,0,0.58,0,0.71,0,3.47,0,0,0,0,0,0,0,0.8,0,0.59,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.57,0.86,0,4.71,0,0,0,0,0,0,0,1.98,0,0.55,8.6,0,0,0,0,0,3.89,0,0
120,0,0,4.68,2.39,71.7,0,2.75,1.41,0,0,0,0,0,0,4.95,0,2.2,75.47,0,0,0,0,0,18.4,0,0
