stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1.32,1.88,0,0,0,0,0,0,2.5,0,6.65,15.63,0,0,0,1.83,18.48,0,0
 24-34,0,0,0,0.62,0,1.58,0,0,6.8,0,2,48.83,0,0,0,0,35.4,0,0
 36-46,0,1.49,0,0,1.88,3.09,0,0,6.21,0,0,98.05,0,0,0,0,72.36,0,0
 48-58,0,0.37,0,2.36,1.27,4.66,0,0,8.04,0,2.07,161.52,0.59,0,0,0,62.33,0,0
 60-70,0,1.52,0,3.3,0,4.16,0,0.76,29.24,0,1.08,65.86,0,0,0,0,44.32,0,3.07
 72-82,0,1.11,3.71,1.98,2.51,8,0,0,17.86,0.56,1.33,46.05,0,0,2.35,0,17.52,1.75,0
 84-94,0,0,0,3.34,0,0,0.63,0,30.75,0,0.87,43.67,0,0,0,0,16.95,0,0
 96-106,0,0,0,2.59,0,0,0,0.95,23.9,0,2.2,30.82,0,0,3.72,0,0,1.74,0
108-118,0,2.97,0,9.8,0,2.89,0,0,21.21,0,0.81,34.88,0,0.65,0,0,4.94,0,0
120,0,0,3.15,17.21,1.67,5.6,0,0,29.86,0,0,55.8,0,0,7.08,0,15.15,2.41,0
