stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,8.41,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,4.73,0,0,0,0,0,0
 14-21,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.93,0,1.27,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0.69,9.71,0,0,0,0,0,1.97,1.44,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,7.24,0,0,0,0,0,7.83,0,0
 48-58,0,0,0,1.92,0,0,0,0,0,0,0.54,3.76,0,0,8.17,0,0,7.23,0,2.74,1.3,0,0
 60-70,0,2.38,0,2.65,0,0,9.58,0,0,0,0,3.03,0,0,16.06,0,0,2.82,0,0,0,0,0.87
 72-82,0,0,0,0,0,0,1.54,0,0,0.53,0,1.24,0,0,8.98,5.71,0,1.16,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.8,0,0,0,6.05,2.35,0,0,2.41,0,0,1.48,0,0,1.97,0,0
 96-106,0,0,0,0.89,0,0,0,0,0,0,0,2.65,0.97,0,1.63,0,0,0.61,0,0,0,0,0
108-118,0,0,0,0.86,0,1.46,0,0.42,0,0,0,2.83,0,0,4.12,0,0,0.67,0,0,0,0,0
120,1.66,0,18.04,22.5,2.98,0,0,0,7.32,0,0,6.01,0,0,17.58,0,0,0,0,0,0,0,0
