stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.16,30.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.71,0,0,0,0,0,18.89,0,0,0,0,0,0,0,0,0,0,0,261.54,0,0,0,30.41,0,6.74,0,0,0,0,0,0,0,0,0
 10-12,0,18.44,0,108.8,0,19.29,0,21.55,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,2639.94,15.23,0,0,324.82,0,0,0,6.28,3.24,3.28,0,0,0,0,0
 14-21,0,0,9.42,30.76,2959,1.08,0,0.82,0,21.78,0,1.66,56.93,25.3,0,0,8.48,0,0,0,0,18.96,7.89,0,2.96,63.56,0,0,9.41,10.37,0,81.67,13.29,0.91,3.44,54.85,0,0,0,0,0
 24-34,0,0,0,4.28,103.15,0,0,1.55,0,15.54,0,7.31,22.27,4.08,0.69,0,2.88,0,5.11,6.73,0,10.86,1.25,0,7.49,44.03,0,6.11,4.83,0,0,54.84,0,0,0,7.18,0,0,0.67,0,0
 36-46,0,0,0,0,6.38,0,0,2.2,0,2.27,0,8.52,0,0,0,0,0,0,0,1.29,0,3.41,0,0,0,42.54,0,4.41,2.17,0,0,34.95,0,0,0,6.9,0,0,1.74,0,0
 48-58,0,0,0,0.42,4.43,0,0,0.58,0,0.49,0,4.5,0,0,0,0,0,0,0,0.63,0,6.34,0,0.37,0.74,12.89,0,0.38,0,0,0,6.16,0,0,0,6.56,0,1.58,0,0,0
 60-70,0,0,20.89,0,5.51,0,0,4.88,0,0,0.9,0.9,31.88,0,0,0,0,0,1.64,70.16,0,13.38,0,8.43,2.3,48.02,0,0.58,0.81,0,0.63,0.74,0,0.68,0,16.47,0,0,0,0,0
 72-82,0,0,364.6,0,4.96,11,0,6.29,0,0,2.39,4.88,85.55,0,0,0,0,0,1.74,1.65,0,36.97,0,0,0,159.99,0.68,0.79,4.48,0,0,1.74,0,0,0,0,0,1.6,0.94,1.27,0
 84-94,0,0,4666.12,1,7.92,0,0,12.53,0,0,0,9.46,234.1,0,0,2.13,1.22,0,0,0,0,23.59,0,0.81,0,66.15,2.32,4.29,0,0,1.57,6.43,0,0,0,10.27,6.95,4.61,1.26,0.68,0
 96-106,0,0,7734.24,0,12.82,22.83,0,77.7,5.83,3.96,0,14.01,1661.3,0,0,2.74,1.79,0,1.96,50.73,0,39.98,11.2,1.41,2.14,471.42,0,4.4,2.93,0,7.26,24.95,0,0,0,4.44,7.41,0,7.63,1.44,0
108-118,0,0,7786.82,0,18.55,2.14,2.08,54.41,165.48,0.88,4.56,14.45,1622.57,0,0,3.41,1.12,1.95,3.38,5.15,2.88,65.32,0,0,1.69,275.29,0.54,3.95,1.34,0,0,29.13,0,0,0,0.71,0.81,2.74,1.6,3.04,1.42
120,0,0,3007.66,0,13.7,0,0,10.38,0,3.66,0,95.24,313.45,0,0,2.23,0,0,0,0,0,26.06,0,11.74,11.09,154.54,0,1.77,3.46,0,0,2.41,0,1.47,0,0,0,0,0,0,0
