stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.85,1.01,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0
 24-34,0,0.87,0.62,4.51,0,0,0,0,0,0,2.73,1.41,4.97,0,0,0.64,0,0,0,0
 36-46,0,0.64,0,18.09,8.87,0,0.82,0,0,0,0,0,7.02,0,0.6,0,0,0.72,0,0
 48-58,0,0,2.6,2.51,7.46,1.57,0,0,0,0.39,10.66,1.87,21.13,0.43,0,0.61,0,0.65,0,0
 60-70,0,1.13,6.13,10.34,9.94,0,0,0,0,0,19.71,0.63,14.92,0,0,0,0.69,0,0,0
 72-82,0,1.08,8.42,6.6,9.37,0,0,0,0,0,17.24,0.58,9.46,0,0,0,0,0.84,0,1.05
 84-94,0,0,0,17.52,7.38,0.83,0,0,0,0,11.1,0,20.63,0.65,0,0,0,0,0,2.58
 96-106,0,0,10.85,13.83,8.26,0,0,0,0,0.69,26.84,0,41.59,0.57,0,0,7.93,0,1.07,0
108-118,0,4.29,0,11.94,1.72,0,0,0.56,1.57,0,15.69,0,14.59,1.45,0,0,2.27,0,0,1.98
120,0,2.35,0,14.38,2.17,0,0,0,0,0,19.13,0,20.21,0,0,0,3.29,0,0,3.36
