stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vasculature
  3-4,19.92,54.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,34.23,3.25,3.95,0,0,0,0,0,0
 10-12,0,0,3.73,0,0,4.95,0,0,0,3.03,0,0,0,0,0,0,27.2,3.27,14.87,0,15.44,0,0,0,0
 14-21,0,0,0,0.99,2.71,0,0,1.13,0,0,0,0,0,3.76,0,0,7.07,0,0,3.24,0,0,2.97,0,0
 24-34,0,0,0,0,0,0.94,0,0,0.59,0,0,0.65,0,1.63,0,2.57,6.93,0,0,3.33,0,0,2.66,0,0
 36-46,0,0,0,0,0,0,8.49,0,0,0,0,0,0,0,0,0,4.44,0,0,4.9,0,0,0.76,0,0
 48-58,0,0,0,0.53,0,5.99,1.67,1.06,0,0.57,0,0,0,0.5,0.92,0,20.36,0,0,1.34,0,4.01,1.78,0,0.54
 60-70,0,0,0,0,0,9.06,9.99,0,0,5.9,0,0,0,1.21,0,2.81,6,0,0,3.14,0,6.29,0,0,0
 72-82,0,0,0,0,0,0.96,0,2.97,0,2.71,0.52,0,0,2.98,1.05,0,2.72,0,0,1.29,0,0.79,0,0,0
 84-94,0,0,0,0,0,10.5,0.55,0,0,0,0,0,0.57,2.25,0,0,2.75,0,0,4.99,0,2.43,4.83,0,0
 96-106,0,0,0,0.62,5.13,0,0.76,8.14,0,0,0,0,0,0,2.48,0,0,0,0,3.08,0,3.48,6.96,0,0
108-118,0,0,0,2.89,8.58,0,6.31,0.47,0,0,0,0,0,8.24,3.34,2.5,5.62,0,0,5.26,0,5.7,0,0,0.5
120,0,0,0,1.67,1.53,0,4.89,4.08,0,0,0,0,0,0,0,0,7.29,0,0,0,0,7.71,0,1.19,0
