stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,3.52,0,0,0,0,0,0,0,0,0,6.83,0.83,0,0,1.02,2.29,0.86,0.99,0,0
 24-34,0,0,4.58,1.23,1.12,0,0,1.31,6.5,0,26.03,1,0,0,0,0,0,3.32,0,0
 36-46,0,0,2.1,0,0,0,0,0,0,0,22.75,0,0,0,0,0.63,0,0,0,0
 48-58,0,0,9.19,0,0,0,0,0,0.8,0.77,50.85,0,1.14,0.42,0,0,0,1.74,1.48,0
 60-70,0,0,23.93,0,2.75,6.44,0,0,2.37,0,23.89,0,0,0,0,0,0,3.06,0,0
 72-82,0,0,4.08,0,5.99,0,0,0,3.06,0.61,19.06,0,0,0,0,0,0,1.51,0,0.55
 84-94,0.56,0,2.15,0,0,0,0,0,0,0,2.73,0,0,0.66,0,0.79,0,0,0,0
 96-106,0,0,0.61,0,1.55,0,0.92,0,2.2,0,3.22,0,0,0,0,1.93,0,0,0,0
108-118,0,1.07,0,0,1.25,0,0,0,1.75,0,1.86,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.34,0,0,0,0,12.71,0,4.59,0,0,0,0,1.57,0,4.69
