stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  5-6,82.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.77,0,0,0,3.42,0,0,0,0,0,80.78,0,0,0,21.62,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,7.75,0,0,0,0
 14-21,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0.8,9.59,0,0,0,0,0,2.67,0.85,4.46
 24-34,0,0.72,0,0,4.52,0,0,0,0,0,0,2.11,0,2.83,20.78,0,1.22,0,0,3.64,0,1.27,13.02
 36-46,0,0.93,0,0,1.15,0,0,0,0,0,0,3.48,0.95,0,13.66,0,1.29,0,0,5.45,0,0,1.75
 48-58,0,0,0,0,5.92,0,0,0.82,0,0.37,0,1.31,1.78,0,8.57,0,2.08,0,0,1.05,0,0,7.44
 60-70,0,0,0,0,0,0,1.97,0,0,0,0,5.62,0,0,14.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.89,0,0.62,0,0,0,0,2.98,0,0,7.44,0,0,0,0,2.98,0,0,2.78
 84-94,0,1.31,0,0,2.12,0,0,0,0,0,0,1.62,0,1.59,0,0,2.17,0,0,10.19,0,0,0
 96-106,0,2.58,0,0,5.94,3.79,0,0,0,0,0,2.22,0,0,14.38,0,0,0.92,0,15.07,0,0,0
108-118,0,0.46,0,2.04,4.64,0.96,2.81,2.2,0,0,0.51,4.61,1.27,3.46,9.58,0.81,0,0,0,8.13,0,0,0
120,0,9.14,6.44,0,6.58,0,0,0,0,0,2.19,0,0,0,0,0,8.55,0,0,2.97,0,0,0
