stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,216.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.19,119.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.07,3.54,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.91,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.91,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.02,1.75,2.25,0,0,0,9.38,1.21,0.99,0,0,0,0,0,0,0,0,0,0,0,1445.69,0,0,0,0,0,1,1.77,0,0,228.09,0,0,0,0,0
 24-34,0,0,0,10.72,10.09,101.95,0,0,0.61,115.64,0.63,0,0,1.59,0.67,2.91,0,1.95,3.25,26.71,0,0,28.16,16628.47,0.71,5.67,3.8,0,0,9.06,0,1.36,3.84,2418.68,0,0,8.23,0,0
 36-46,0,0,0,13.35,0,131.89,0,0.57,1.26,1218.16,0,3.2,0.73,10.98,0,14.33,0,0,17.34,105.74,0.72,0.63,17.97,19698.73,1.86,0,19.17,0,0,12.02,0,5.79,0,4222.22,0,0,4.59,0,20.32
 48-58,0,0,0,50.32,12.24,452.13,2.47,1.05,0,1807.16,0,0,0,3.87,0,0.67,2.28,5.51,0,294.95,0.59,4.8,5.02,9744.83,0,0.45,33.16,0,0,15.24,0,0,0,2877.62,0,0,3.23,0,7.87
 60-70,0,0,0,14.6,0,336.09,2.56,1.46,0,872.09,0,0,0,0,2.84,12.99,0,8.95,0,226.89,0,0,1.72,4223.37,5.22,2.09,17.16,0,0,4.44,0,3.71,0,583.34,0,0,0,0,0
 72-82,0,0,0,20.26,16.29,550.48,0,0,0.68,842.18,4.83,0,0,2.7,0,0.96,0,0,0,395.01,0,3.1,2.87,4631.56,0,1.37,44.15,0,0,0,0,1.32,0,250.54,0,2.45,3,1.15,4.09
 84-94,0,0,0,32.49,3.31,475.92,0,1.53,6.59,542.08,0,0,2.61,4.56,0,8.88,2.91,0,0,368.98,0,12.13,2.69,3283.45,2.26,0.81,63.84,0,0,11.56,0,1.85,0,229.06,1.28,0,0,3.6,0
 96-106,0,0,0,36,0.58,396.3,0,3.64,5.46,630.93,1.85,0,0,6.27,0,1.03,1.26,0,0.75,248.17,1.42,3.4,5.09,2437.36,0,0.57,30.88,0,0,7.21,0,3.59,0,64.41,1.13,3.09,4.74,7.93,10.12
108-118,0,0,0,49.16,6.85,364.78,0.65,0,2.11,747.05,0,0,0,6.08,0,0,0,0.87,0,291.24,1.82,0,6.77,4332.55,0,2.34,46.86,0,1.58,6.59,0,0,0,42.68,0,0.57,0,1.01,0
120,0,0,0,71.97,0,506.09,0,1.16,2.45,1040.9,0,0,0,5.05,0,0,2.69,0,0,205.15,0,2.22,6.26,4200.04,0,2.9,43.95,0,0,5.89,0,4.28,0,54.25,1.37,0,0,0,3.17
