stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,46.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22,0,0,20.72,0,0,0,0,0,0,0,0
 14-21,0,0,1.4,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,1.5,0
 24-34,0,0,1.28,0,0,0,0,0,0,19.05,0,0,0,0,0.87,0,2.18,2.36,0,0,0,0,0.99,0,0,0.68,0,4.31,0
 36-46,0,0,0,0,0,0,0,0,0,69.58,1.05,6.42,1,0,0,0,0,8.63,0,0,0,0,2.17,0,0,1.81,0,0.58,0
 48-58,0,0,0,0,6.16,0,0,0,0,140.47,0,12.9,0,0,0.96,0,0.42,16.11,0.43,0,0,0,0.8,5.13,0,1.26,0,0,0
 60-70,0,0,0,0,63.76,0,0,0,0,127.01,0,14.72,0,0,0,0,0,17.97,0,0,0,0,0,0,0,1.73,0,0,0
 72-82,0,0,0,0,107.18,0.51,3.05,2.84,0,181.12,0,28.81,0,0,1.83,0,0.82,10.27,0.58,0,0,0.77,0,0,0,3.48,0,1.3,0.61
 84-94,0,0,1.54,1.3,91.58,0,0,2.89,0,281.77,0.69,55.77,0,0,16.01,0,0,6.22,0,0,0,0,8.12,0,0,5.4,0,0,0
 96-106,0,0,1.12,0,172.01,0,0,1.27,0.79,325.5,0,24.4,1.11,1.4,7.39,0,0,8.42,0,0,0,0.83,0,0,0,0,2.03,2.49,1.68
108-118,0,0.74,0,4.26,168.74,0,0,2.74,0.64,288.52,0,55.19,0,0,7.59,1.44,0,18.22,0,0,0,0,0,0,0,0,0,0.43,0
120,0,0,1.18,0,92.67,0,0,7.81,0,259.5,0,66.84,1.13,0,0,0,0,29.01,0,1.09,0,0,0,0,0,0,0,2.97,0
