stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,21.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.05,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.33,15.3,0,0,47.14,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4.1,0,0,82.7,0,0,0,6.11,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,16.38,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,4.91,0,0,14.1,7.36,0,0,0,1,0,1.01,5.96,1.06,1.17,60.11,2.84,0,0,0.91,0,0
 24-34,0,0,0,0.75,16.81,0,0,0.61,0,0,0.68,1.08,0,2.17,0,1.7,0,1.81,0,0,38.89,0,0,26.68,9.5,0,0.65,0.98,0,0,0,0,0.7,0,1.59,5.91,0,0,0,0,1.43
 36-46,0,0,0,0,35.02,0,0,3.44,0,0,1.68,0,0,2.96,0,0,0,1.17,0,0,21.01,0,0,18.22,113.38,0,5.58,0,0,0,0,0,0,1.95,2.07,6.2,0,0,0,0,0
 48-58,0,0,0,0,46.16,0,0,11.07,1.8,6.31,6.83,5.39,0,0,0,0.46,0.39,0.41,0,0,53.78,0,0,16.38,25.51,0,3.06,0,0,0,0,0,1.7,0,0,5.6,0,0,0,0,0
 60-70,0,0,0,0,42.68,0,0,13.33,0,10,5.34,3.05,0,0,0,0,1.16,1.71,0,0,95.63,0,0,17.13,38.98,0,4.06,0,0,3.12,0,0,0,0.67,0,3.55,0,0,0,0,0
 72-82,0,0,0,0,32.73,0,0,12.33,0,11.52,8.72,9.2,0.65,4.87,0,0.55,3.89,1.44,0,0,156.58,1.07,4.51,20.7,52.22,0,9.63,0.84,0,3.29,0,0,0.57,0,0,2.54,1.86,0,1.21,1.24,2.51
 84-94,0,0,1.4,0,68.51,3.31,0,15.86,10.36,26.23,10.24,3.69,0,1.14,2.03,0,0,0,0,0,115.02,0,9.57,18.35,13.65,0,5.22,0,0,0,0,0,0,0,0,1.27,0,2.85,0,2.03,2.9
 96-106,0,0,0,0,78.97,0,1.07,8.38,0,9.21,0.63,16.86,2.22,0.75,0,0,0,0.79,0,0,94.54,0,7.66,9.41,31.8,0.73,6.55,1.34,0,6.74,2.76,0,0,0,0,0,0,0.78,0.8,1.72,0
108-118,0,0,0,1.06,100.42,0,0,0,2,22.66,3.14,19.24,0.49,0.69,0,0,1.67,0,0,0.58,146.67,0,0.46,20.71,42.51,0,6.25,0.87,0,5.43,0,0,0.55,0,0,4.02,0,2.03,0.83,2.72,0
120,0,0,2.94,0,146.34,9.23,0,30.12,5.48,20.57,0,24.78,1.35,4.47,0,8.54,0,1.74,5.51,0,152.02,1.49,12.41,34.82,33.88,4.01,17.39,0,0,6.98,0,0,4.37,0,0,0,0,4.4,0,0,18.97
