stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.79,10.11,41.1,17.68,10.7,0,0,0,3.34,1.71,3.32,0,8.34,14.63,0,0,0,0,8.85,0,0,7.1,202.93,4.53,5.34,2.75,2.16,0,59.63,36.21,3.56,0.82,11.35,12.26,96.96,0,0,0,0,0
 24-34,4.1,1.24,14.04,2.8,14.34,0,0,1.51,1.72,2.93,0,0.82,12.57,8.55,0,0.66,0.95,0,17.05,20.26,0,6.2,826.72,0.69,50.82,5.7,0,0,25.97,3.92,0,0.6,0,0,228.9,0,0,3.08,0,0
 36-46,6.2,0,31.16,0,58.54,0,0,0,6.67,0,1.26,1.58,2.72,16.74,0,0,0,0.7,13.54,55.31,0.7,8.29,1986.34,0.58,60.12,4.99,0,0,119.51,5.54,0,0,0,0,406.26,0,0,1.2,0,0
 48-58,0.86,0,12.79,0,221.96,1.37,4.35,1.3,21,1.37,6.93,1.21,7.11,32.78,0,2.58,0,4.41,29.77,56.31,0,14.27,2618.1,0,46.66,9.43,0,0,298.54,0,0,0,0,0,339.81,0,0,0.45,0,0
 60-70,4.53,0,30.17,1.07,601.6,4.26,13,13.96,39.96,5.67,2.25,1.49,4.58,48.54,0,10.99,0,0,50.27,84.7,0.62,10.94,4263.13,0,49.28,8.7,0,0,960.4,1.49,0,0,0,0,429.62,2.39,0.9,0,3.82,12.56
 72-82,6.79,0,46.11,10.08,680.99,4.47,9.63,3.29,59.83,14.41,0.59,0,7.54,25.09,0,37.02,6.58,0,92.19,122.07,6.67,9.83,4720.7,0.61,64.15,23.01,0,0,914.19,0.56,0,0,0,0,288.61,21.72,3.63,6.49,1.27,5.65
 84-94,11.91,1.01,63.56,0.76,449.69,0,29.97,0.83,43.63,17.59,0,1.31,10.5,26.93,2.63,33.68,0.83,0,58.66,158.3,7.21,5.32,2927.72,0,72.85,15.84,0,1.53,2265.43,0,0,0,0,0,255.51,29.2,5.71,1.41,7.3,0
 96-106,15.39,0,143.44,28.3,519.69,2.75,35.35,9.97,58.08,37.88,0,2.33,8.42,34.95,0,70.82,18.02,0,78.05,152.93,0,7.03,2925.25,1.38,167.71,22.28,0,3.14,2363.74,0.7,0,0,0,0,87.92,36.99,1.33,7.6,1.77,2.89
108-118,5.9,1.06,161.13,6.54,373.81,1.77,46.96,1.28,50.35,31.67,0,0,8.42,35.88,0,55.66,0,0,60.28,104.56,1.4,4.01,3378.93,2.44,113.67,28.97,0,1.91,1947.02,0.64,0,1.94,0.49,0,130.68,35.51,0,4.94,1.48,8.09
120,5.21,0,166.27,13.83,363.68,3.2,25.86,6.54,111.87,21.41,5.2,4.47,20.18,34.04,0,29.42,0,0,68.05,37.6,23.56,6.59,4316.16,0,60.54,41.95,0,0,889.27,0,0,0,0,0,147.84,15.4,0,15.48,0,0
