stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,18.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.56,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0
  7-9,0,0,0,0,18.4,0,0,0,0,68.91,0,11.69,0,0,0,0,0
 10-12,0,21.03,0,0,0,0,0,0,0,117.27,3.12,4.1,0,0,3.98,0,0
 14-21,0,0.88,1.72,0.99,2.35,0,0,2.17,1.07,23.95,0.97,0.94,0,7.84,1.06,9.13,0
 24-34,0,0,0,0,0.69,0,0,0,0,8.22,0,0,0,0,0,4.21,0.79
 36-46,0,0,0,0,0,0,0.75,0.59,0,14.49,0,0,0,0,0,2.12,1.67
 48-58,0,0,0,0,4.18,0.67,0,1.47,0,1.37,0,0,0,0,0,4.31,0
 60-70,0,0,0,0,2.65,0,0,0,0,10.01,0,0,4.58,0,0,0,0
 72-82,0,0,0,0,0,0,0.57,1.67,0,4.76,0,0,0,0,0,0,1.21
 84-94,0,0,0,0,0,0,0,2.99,0,3.24,0,0,0,0,0,2.57,0
 96-106,0,0,0,0,6.76,0,0,1.68,0,2.35,0,0,0,0,0,0,0
108-118,0,0,0,0,3.91,0,0,0,0.55,1.95,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,13.85,0,0,0,0,0,0,0
