stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.51,1846.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0
  5-6,58.74,1290.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.84,0,0,0,6.69,0,18.33,0,0,0,0,0,0,0,0,0,0
  7-9,0,29.01,0,3.69,0,0,0,23.35,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,168.29,34.86,0,0,66.49,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.58,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.5,3.16,0,0,104.51,0,0,14.56,0,10.11,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.6,1.19,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,2.58,39.19,2.55,0,0.88,0,0,0.86,0,4.24,5.03,1.99,8.55,0,0,2.99,0,0
 24-34,0,0,0.61,0,1.73,0,0,2.12,0,0,0,2.22,0,0,0,0,0,0,0,0,5.07,0.63,0,1.32,120.21,0,11.92,2.03,0,0,1.2,0,0,8.2,0.82,40.79,0,0,2.77,0,0
 36-46,0,0,0,0.96,1.22,0.57,0,17.84,0,1.39,0,6.7,1.2,0,0,0,0,0,0,0,13.88,0.95,0,0,161.14,13.68,13.33,2.74,0,0,0,0,0,7.31,0,38.55,0,0,0,0,0
 48-58,0,0,0,0,1.21,0,0,37.16,0,0,1.11,24.9,0.38,1.18,0,0,0,0,0,0,16.91,1.22,0.43,0.59,205.65,0.61,3.63,0,0,0,0.43,0,0,6.15,0,46.95,0,0,1.97,0,4.96
 60-70,0,0,0,0,0,0,0,108.89,0,0,0.86,17.47,1.57,0,0,0,13.77,0.72,0,0,31.12,0,0,0,259.82,0,14,0,0,0,0.62,0,0,3.22,0,43.39,0,0,0,0,0
 72-82,0,0,3.05,0.75,1.24,8.07,0,135.33,0,0,0,41.14,0.86,0,0,0,0,0,1.19,0,56.98,0.71,0,3.73,324.56,0,23.09,0.61,0,0.72,0.55,0,0,4.57,0,45.07,1.16,1.84,2.76,0,0
 84-94,0,0,2.49,0,3.8,32.22,0,66.65,0,0,0,12.09,6.37,0,2.65,0,5.48,0,0,0.71,60.49,0,7.42,1.37,169.63,1.11,5.24,0.74,0,0,0.69,0,0,7.23,0,39.24,0,1.49,3.51,0,0
 96-106,0,0,0.74,0,0,20.58,0,79.72,0,2.14,0,61.16,14.53,0,1.68,0,1.35,0,0,0,56.01,8.07,2.34,3.12,193.91,0,6.47,2.62,0,0,8.97,0,0,3.15,0,7.7,0.62,3.43,1.39,0.92,0.91
108-118,0,0,3.73,0,4.57,7.47,1.76,71.31,8.24,0,0,45.65,4.58,0,0.75,0.48,4.73,0,0.7,0,41.88,0,3.75,1.45,290.75,0,4.74,0.91,0,1.8,0,0,0,0.42,0,13.72,0,2.64,1.56,0,1.88
120,0,0,0,0,0,32.87,0,93.18,0,3.83,0,77.47,16.29,0,0,4.61,0,16.49,9.47,0,71.98,0,9.54,3.45,317.22,0,6.18,2.44,0,0,1.78,0,0,8.27,0,4.02,0,0,0,0,0
