stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.6,69.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.21,262.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.69,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.89,0,10.81,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.63,0,0,0,20.17,0,4.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.26,10.78,0,0,14.05,0,0,0,7.02,0,0,0,0,0,0,0
 14-21,0,0,0,29.29,4.51,0,4182.03,0,0,0,2.21,0,0.92,0,0,0.91,0,0,0,5.23,0,0,12.44,2013.78,9.53,0,16.29,2.86,2.59,0,5.66,0,0,8.56,90.29,0,0,0,0
 24-34,0,0,0,27.07,8.98,0,8410.66,0,1.45,0,5.64,1.16,8.71,0,0,4.84,0.62,0,4.09,45.34,0.86,0,25.38,3966.72,5.61,9.09,6.94,4.99,7.11,0,0,0,0.63,6.54,533.36,0,13.99,0,1.93
 36-46,0,0,0,8.81,2.44,0,5518.75,1.25,0,0,14.19,0,0,0.96,1.15,19.31,0,0,8.54,15.69,0.63,0.86,17.55,2961.6,0,0,0,0,22.89,0,2.9,2.92,0.67,0,369.3,0,15.45,0,10.04
 48-58,0,0,0,21.13,3.98,0,2886.9,0,1.03,1.31,67.05,0,0,2.68,0.5,4.68,0,2.12,4.22,25.22,0,0.56,5.8,2875.12,4.6,1.86,0,0,6.12,0,0,0,0,0,442.06,0,3.06,0,10.72
 60-70,0,0,0,1.43,0,0,2894.12,0,2.24,0,215.41,0,0,0.79,0,0,0,0,0,51.64,0,0,1.61,2317.11,3.13,0.81,0,0,1.42,0,0,0,0,0,523.78,0,2.65,0,0
 72-82,0,0,0.56,12.35,1.85,0,3265.24,2.65,0,1.6,384.63,0,2.29,0.59,0,2.34,0,6.1,0,30.05,0,2.42,0,1483.12,0,1.87,1.99,0,2.61,0,0,0,0,0,286.61,1.21,0.79,0,2
 84-94,0,0,0,7.84,0.81,0,2280.36,1.12,0,0,342.77,0,0,0,5.84,0,0,0.83,2.36,35.56,0,4.6,1.23,1029.25,0,2.09,0,0,3.25,0,0,1.13,0.63,0,174.01,0,5.45,0,2.12
 96-106,0,0,0,10.64,2.41,0,2798.08,0,0.6,0,441.62,0.86,0,0,0,0,1.07,3.12,0.71,31.58,0,1.69,0,539.31,1.58,0,0.57,0,4.43,0,0,0,0,0,9.61,1.26,11.63,0.59,0
108-118,0,0,0,13.82,4.2,0,2081.69,0,0.73,0.48,395.61,0,0.61,0.91,0,1.34,0,1.74,0,31.54,0,1.27,0.87,694.64,1.09,2.52,0.63,0,0,0,0,1.48,0,0,28.61,0.82,1.97,0,0
120,0,0,0,40.31,10.12,5.97,1504.66,1.99,0,0,411.99,0,0,0,1.39,0,0,3.99,0,17.05,0,4.76,0,829.86,0,0,0,0,0,0,0,0,0,0,4.36,0,4.93,0,0
