stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.7,60.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,91.14,0,0,54.57,0,0,0,0,0,0,0
 10-12,0,14.18,22.01,0,0,0,18.96,0,0,0,0,0,0,0,0,0,0,0,345.56,3.44,0,99.75,0,0,0,0,0,0,0
 14-21,0,0,0,5.34,0,0,0,0,0,0,0.97,0,0,0,0,0,0.82,0,14.3,0,0,2.98,0,0.91,0,0,3.3,6.38,0
 24-34,0,0,0,0,0.6,0,0,0,0,0,1.02,0,0,0,2.02,12.4,0,0,15.66,0.77,0,0,0,0,0,0,1.35,4.21,0
 36-46,0,0,0,0,0,0,3.59,0,0,0,0,0.71,0,2.31,0,0,1.44,0,20.65,0,0,0,0,0,0,0,0,7.85,0
 48-58,0,0,0,0.37,0,0,3.17,0,2.61,0,1.11,0,0,0,0,0,0.4,7.55,9.87,0,1.81,0,0.49,0,0,0,0,0.97,0.41
 60-70,0,0,0,0,0,0,1.26,0,0,0,6.33,0,0,0,0,0,1.59,0.83,11.83,0,0,0,0,0,0,0,0,1.79,0.64
 72-82,0,0,0,0,0,0,2.43,2.65,0,0.77,5.29,0,0,0,0,0,0.89,0,1.78,0,0,0,0,0,0,0,0,1.26,0
 84-94,0,0,0,0,0,0,1.79,0,0,0.7,0.6,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0.83,0
 96-106,0,0,0,0,0,0.98,0.96,0,0,0,0,0,0,0,0,0,0.71,0,0.9,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.56,0,0.49,0,0,1.45,0.43,0,0,0,0,0,0,0.99,0,0.6,0,0.87,0,0,0,0.72,0.41,0,0,0
120,0,0,0,0,1.89,0,0,1.04,0,0,2.98,0,2.29,0,0,0,0,0,56.03,0,0,0,0,0,0,0,0,0,0
