stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,74.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.15,4.44,0,0,38.14,0,26.3,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.61,0,0,0,29.16,0,6.59,16.55,0,0,0,0,0,0,0,0
 14-21,0,0,499.79,0,0,81.77,0,0,0,0,0,0,0,0,0,0,1.47,0,0.8,13.51,1.17,1.43,0,0,0,158.64,0,2.23,3.76,4.46,0,0,0.89,0,0
 24-34,0,0,237.92,0,5.45,262.14,0,3.07,0,0.88,0.85,0,0,0,0,173.99,6.75,0,0.98,36.48,0,0,0,0,0,171.17,0,0,0,8.33,0,0,0,0,0
 36-46,0,0,252.95,0,4.13,175.33,0,0,0,0,0,0,5.9,0,0,1010.12,6.4,0,0,105.52,0,1.69,0,0,0,255.56,0,0,0,3.02,0,0,0.69,0,2.55
 48-58,0,0,178.37,0,51.81,151.37,1.06,10.44,0,0,0.66,0,7.89,0,0,2148.19,10.67,7.24,0.79,213.57,0.66,0,0.52,0,0,162.91,0,0,0,14.84,0,0,0.95,0,12.47
 60-70,4.04,0,132.58,1.86,61.42,167.63,0.63,6.92,0,0,0,0,3.01,0,0,2790.82,1.43,0,0.72,81.11,0,0,0,0,0,146.74,0,0,0,13.94,0.59,0,0,0,6.76
 72-82,0,0,109.12,4.25,71.65,76.41,1.49,20.39,0,1.06,0,2.78,23.11,0,0,2692.61,2.12,37.98,2.73,131.68,0,0,6.69,0,0,244.36,0,0,0,5.23,0.87,2.95,0,1.04,0
 84-94,0,0,190.51,12.17,115.66,164.83,0,8.38,0.81,4.56,0.55,0,7.36,0,0,2438.13,6.74,67.08,1.81,71.28,0,1.5,0,0,0,725.94,0,0,0,4.69,2.56,1.03,0,1.07,0
 96-106,0,0,213.63,14.99,98.31,120.65,5.35,21.98,0,2.4,3.29,0,9.93,0,0.94,1669.78,8.04,125.53,2.42,83.17,0,4.79,1.96,0,0,503.95,0,0,0,2.9,0,0,4.19,3.19,0
108-118,0,0,179.16,0,65.44,142.89,10.18,9.13,2.17,0,9.89,4.4,26.58,0,0,2212.59,8.25,65.05,8.93,86.31,0,1.05,1.81,0,6.59,484.05,0,0,0,0,0.42,2.75,2.89,3.83,0
120,0,0,144.75,24.67,69.92,101.96,0,7.91,0,1.88,18.28,0,30.76,7.68,0,1818.73,9.15,6.76,7.68,176.55,2.33,1.02,0,0,0,326.44,0,0,0,9.45,6.56,7.86,0,0,0
