stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.38,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.66,0,0,0,60.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,67.87,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,9.8,13.7,0,2.91,0,0,0,0,0,0,19.85,0,0,0,0,26.32,0,0,7.83,10.32,0,0,0,0,0,4.19,2.19,0,0,7.56,0,0,0,0,0
 24-34,0,0,1.69,1.27,0,5.79,0,1.25,1.21,0,0,0,17.44,0,0,0,0,5.85,0,2.43,1.4,18.24,0.85,0,0,0,0,0,0,0,1.53,20.23,0,0,1.13,0,6.87
 36-46,0,0,2.51,0,0,9.18,0,0,0,0,0.72,0,3.83,0,0,2.22,0,14.94,0,9.52,0.95,18.3,0,0.69,0,0,2.1,4.86,0,0,0,4.4,0,1.04,0,0,21.42
 48-58,0,0,0.39,0.66,0,14.87,0,0,0,1.86,0,1.4,3.66,0.79,0,0,0,42.46,0,22.93,0.61,35.77,0,0,0,0,0.4,0,0,0,0.45,5.43,0,6.29,1.53,3.38,72.51
 60-70,0,0,0,0.67,0,44.57,0,0,0,0.85,0,0.97,0.62,5.83,1.42,0,0,118.81,0,58.22,0.67,72.41,2.9,0.75,0,0,3.93,3.21,0,0,0,11.68,0,29.4,0,43.27,56.74
 72-82,0,0,0.84,4.74,0,57.9,0,0,2.25,11.56,4.74,0.58,9.56,0,0,0,0,163.71,0,58.6,1.52,102.52,0,0,0,0,11.28,0,0,0,0,11.41,0,72.43,0.5,185.85,69.1
 84-94,0,0,0.57,2.2,0,87.54,0,0,3.81,15.06,1.45,2.21,3.86,0,1.56,0,20.39,99.71,0,28.33,0,54.43,0,0,0,0,5.69,4.96,0,0,0,9.39,2.04,92.64,1.18,218.51,28.69
 96-106,0,0,6.93,17.63,0,49.38,0.71,0,0,31.06,0,0,3.04,2.2,0,0,0,98.39,1.61,18.2,5.16,54.06,0,0,0,0,3.71,2.59,0,1.33,0,1.63,1.68,48.96,3.65,169.74,24.18
108-118,0,0.61,0,1.97,0,60.09,4.33,1.57,0,23.73,0,0,4.29,0,0,0,11.07,163.41,0,14.81,3.61,66.36,0.57,0,7.64,0,20.58,4.79,0,0,0,0,0,50.5,1.36,176.19,57.84
120,0,0,0,16.23,1.89,34.73,0,17.06,0,34.22,1.84,0,1.61,3.52,1.66,0,0,68.93,0,53.45,0,70.92,0,0,0,0,0,0,0,1.13,0,0,0,85.48,13.53,258.59,22.34
