stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,112.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.86,86.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.41,8.77,0,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.36,4.47,0,0,66.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,9.58,0,0,17.48,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,297.91,7.26,0,0,20.63,0,0,0,0,14.33,0,4.75,0,0,0,0,0,0
 14-21,0,0,0,0.96,31.02,2.83,6.18,0,0,0,3.8,0,0,1.3,0,0.82,0,0,0,0,4.36,0,0,2.72,78.78,4.07,0,0,0,0,4.05,0,24.85,4.55,0,5.25,36.17,0,0,2.01,0,0
 24-34,0,0,0,0,4.51,0,11.58,0,0,0,1.04,0,0,0,0,0,0,0.62,0,0.6,4.68,0,0,9.84,142.9,0,1.68,0,0,0,2.77,0,0,0,0,0.67,31.56,0,0,3.37,0,12.07
 36-46,0,0,0,0,2.13,2.58,30.34,0,0,1.03,2.2,0.59,0,0,0,1.02,1.11,0,0,6.16,13.56,0,0,1.64,140.73,0,3.93,1.77,0,0,23.1,0,0,0.58,0,0,31.85,0,0,6.48,0,7.18
 48-58,0,0,0,0,7.14,2.08,63.23,0,0,0.4,4.96,0,0,0,0.4,0,0,0,0,5.79,19.62,0.81,1.11,2.35,132.37,0.56,2.15,3.16,0,0,0.98,0,0,0,1.87,0,27.97,0,0,2.04,0,11.15
 60-70,0,0,0.89,0,6.22,5.07,106.1,5.02,0.67,0,21.23,0,0,0,0,0,6.5,0,0.68,0.59,15.31,2.41,0,2.83,74.84,3.72,3.69,0.82,0,0,7.06,0,0,0,0,0,10.17,0,0,10.02,0.89,2.57
 72-82,0,0,0,0,0.55,40.16,131.54,0,5.14,0.89,34.17,0.58,0,1.53,0,0,0,1.13,0,0,34.1,0,2.96,5.6,118.05,0,3.01,1.77,0,2.36,1.38,0,0,0,0,0,14.09,0.91,0.87,6.9,0,3.85
 84-94,0.62,0,0,1.04,7.98,49.86,96.75,0,2.9,0,9.21,0,0,0,1.61,0,3.47,0,0,5.42,30.72,0,0,7.35,104.77,0,0.66,3.17,0,0,10.54,0,0,0,0,0,11.85,0.71,0,4.2,0.82,5.23
 96-106,0,0,0,0,10.49,31.4,134.2,0,1.22,1.42,60.19,9.54,0,0,6.79,1.8,3.3,0.82,6.48,1.92,70.39,3.61,5.55,3.04,122.88,0,10.47,10.73,0,0.87,8.74,3.39,0,0,0,0,10.94,3.17,1.87,7.03,3.58,0.8
108-118,0,0,0,0,11.74,23.52,127.54,0,6.07,0.73,75.15,1.39,0,1.63,6.39,3.94,0.53,2.8,0.42,2.27,71.48,0,0.69,10.02,138.56,0.56,12.59,2.43,0,0,14.97,0,0,0,0,0,6.79,1.23,2.53,2.92,0,14.12
120,0,0,0,0,16.1,26.5,128.04,0,3.46,0,61.7,7.82,0,2.95,19.86,3.26,9.53,5.82,3.16,1.33,137.93,14,2.76,6.58,196.86,1.81,3.27,8.95,0,0,6.59,0,0,0,0,0,12.17,3.15,10.24,0,0,1.1
