stage,epidermis,eye,glial,mesenchyme,neural,spinal.cord
 24-34,0,0,0,0,1.11,1.05
 36-46,0,0.74,0,0.67,3.11,0
 48-58,0,0.61,0,0,0,1.08
 72-82,0.84,0,1.28,0,2.43,0
108-118,0,0,0,0,1.14,0
