stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5.12,1.96,4.4,0,0,0,53.36,0,0,4.07,6.32,50.25,0,0,2.14,0,2.91,0,1.53,5.11,17.31,0,0,0,0
 24-34,0,3.46,0,2.17,0,2.34,0,223.64,0,1.17,0,0,24.02,0,0,0,0,0,0,0,0,4.58,0,2.24,0,0
 36-46,0,1.07,0,1.56,0,2.66,0,274.81,0,0,0.91,3.6,26.26,0,0,0,0,0,0,0,0,13.26,0,6.64,0,7.16
 48-58,0,0,0,4.14,0,4.98,0,178.35,0,0.43,6.72,0,22.4,0,0,0,0,0,0,0,0,1.27,0.61,12.36,0,0
 60-70,0,0,6.36,14.48,3.35,4.38,0,218.22,0,0,1.98,0.76,5.2,0,0,0,0,0,0,0,0,0,0,8.78,0,0
 72-82,0,0.5,1.68,7.28,0,4.73,0,246.25,0,0,15.14,0,1.14,0,1.01,0,1,0,2,0,0,0,0,15.57,0,0
 84-94,1,0,4.19,6.63,0,0,0,327.14,0,0,3.05,0.94,14.5,0,0,0,0,0,0,0,0,0,0,12.18,0,0
 96-106,0,0,4.68,9.6,0,5.61,0,360.62,0.58,0.75,5.69,0,12.68,1.05,0,0,0,0,0,0,0,0,0,29.54,0,0
108-118,0,0.94,5.67,4.7,0,1.83,0.45,287.2,0,0,2.52,0,6.34,0,0,0,0,0,0,0,0,0,0,18.64,0,0
120,0,0,8,2.58,0,0,0,580.17,0,0,18.18,0,20.51,0,0,0,0,0,0,0,0,0,0,28.66,1.99,0
