stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,8.34,0,0,8.63,0,0,0,0,0,10.04,0,0,0,0,0,30.94,4.99,0,0,31.05,0,0,0,0,0,0,0,0,0
 10-12,0,13.05,28.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.22,0,0,0,29.01,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,12.81,0.96,0,0,0,0,1.09,0.81,2.94,0,0,0,8.21,2.67,43.82,0.88,0,0,1.06,0,8.63,7.35,9.12,0,0,0,0,0
 24-34,0,0,0,2.11,0,3.45,0,0,0,1.69,0,0,0,0,0.68,7.2,1.29,55.69,0,0.73,0.68,0,2.22,0,0.86,5.73,0,0,0.92,0,2.07
 36-46,0,0,0,0,0,4.07,0,0,0,3.21,0,0,0,0,0.99,2.37,0.92,15.63,0,0,0,0,0,0,0,10.19,0,0,0.65,0,0
 48-58,0,0,0,0,0,1.31,0,0,0,0.9,0,0,0,0,0,1.71,0,18.83,0,0,0,0,0,0,0,1.24,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.26,1.41,0,0.78,0,0,0,2.65,0,5.42,1.48,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.12,0,0.92,0,0,1.08,2.19,0,0,0,0,0,6.9,1.85,5.47,0,0,0,0,0.76,0,0,0.85,0,0,0,1.39,0
 84-94,0,0,0,1.27,0,2.79,0,0.74,0.92,1.51,0,0,0,0,0,10.85,1.41,9.09,0,0,0,0,0,0,0,0,0,0,2.27,0,0
 96-106,0,0,0,1.96,0,0,0,0,0,1.77,0,0,1.14,0,1.14,11.25,1.08,10.75,0,0,0,0,6.46,0,0,0,0.8,0.66,0,0,0
108-118,0,0,0,0,0,0.51,0,0.55,0,6.64,0,0,0.42,0.7,0,10.28,0,1.69,0,0,0.43,0,0,0,0,0,0,0,2.15,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0
