stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,79.84,1655.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
  5-6,149.4,2612.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.82,10.41,0,0,0,0,13.73,0,0,0,0,0,0
  7-9,41.81,64.01,49.84,0,0,123.78,0,0,0,0,42.26,0,0,0,0,0,0,0,2015.22,45.08,0,0,256.71,0,0,12.64,0,0,0,0,0
 10-12,0,9.71,30.71,0,0,52.11,0,0,0,0,0,0,0,0,0,0,0,0,199.3,17.77,0,0,90.61,0,0,9.77,28.29,0,0,0,0
 14-21,0,0,0,4.5,1.06,2.87,0,0,0,1.09,0,0,0,0,0,2.84,0,1.67,7.15,1.13,0,1.1,0,0,0,0,0,2.89,1.04,0,0
 24-34,0,0,0,0,0,6.68,0,2.14,0,0,0,0.92,0,0.71,0,24.37,0,6.5,12.28,0.71,0,0,0,0,0,0,0.76,0.63,11.89,6.08,0
 36-46,0,0,0,12.6,0,15.17,0,2.42,0,0,0,0,0,0,6.83,35.23,1.28,6.5,18.78,0,1.63,0,0,0,0,0,0,0,1.27,9.77,0.68
 48-58,0,0,0,0.5,0,43.35,0,3.02,2.41,0,0,0,2.53,0,6.12,45.32,0,5.97,18.16,0,0,0,0,0,0,0,0,0,4.92,1.98,6.18
 60-70,0,0,0,5.1,0,42.8,0,6.32,5.58,0,0,0,0,0,0,52.17,3.26,6.29,19.04,0,0,0,0,0,0,0,0,0,4.6,0,11.73
 72-82,0,0,0,0,0,17.76,0,7.18,10.65,0,0,0,0,0,8.24,45.11,0,4.39,5.72,0,0,0.53,0,1.1,0,0,0,0,1.91,0,6.66
 84-94,0,0,0,2.05,0,7.56,4.39,1.43,14.45,0,0,0,0.9,0,4.95,38.07,3.35,1.8,6.98,0,0,0,0,1.49,0,0,0,0,5.15,1.42,9.51
 96-106,0,0,0,1.41,0,4.62,0,1.01,14.27,0,0,0,0,0,0.71,17.15,0,0,19.39,0,0,0,0,0,2.16,0,0,0,0,0,3.28
108-118,0,0,0,0,0,10.15,2.37,0.6,9.55,0,0,0,0.7,0,0,21.5,1.59,3.27,3.53,0,0,0,0,5.33,0,0,0,0,0,0,1.44
120,0,0,0,0,0,10.96,0,0,20.12,0,0,0,0,0,0,20.25,13.18,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0
