stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,51.89,0,0,3.62,0,0,0,4.42,2.73,0,1.13,0,1.08,0,0,110.64,0,13.26,0,0,10.61,113.67,7.97,1,1.83,1.9,0,10.02,7.39,0,0,15.59,50.92,0,0,0,0,2.2
 24-34,0,2.57,6.29,0.66,0,27.14,0,0,1.48,4.58,0,0,0,4.45,0,0,0.82,141.38,0.62,5.75,0,0,4.84,171.66,0,0.68,1.51,0,0,7.44,0,0.73,0,2.73,40.93,0,0,0,0,13.45
 36-46,0,0,2.26,0,0,37.76,0,2.53,0.63,7.58,0.58,0,0,6.45,0,0,0.99,195.81,5.5,22.14,0,0,5.83,117.44,0,0.95,0.57,0,0,14.98,0,0,0,0,43.86,0,0,0,0,52.93
 48-58,0,0,0.42,1.61,0,51.37,0,0,1.97,6.4,0,0.75,0,13.8,2.55,3.99,0,139.6,1.72,25.57,0,0,11.61,60.2,10.88,1.67,1.09,0,0,7.08,0,1.02,0,0,12.93,0,0,3.68,0,69.45
 60-70,0,0,6.73,0.57,0,53.07,0,1.83,0,19.03,2.74,0,0,26.81,0.58,1.15,0,165.04,0,30.13,0,0.6,0.84,58.97,13.69,0,0,0,0,1.06,0,1.95,0,0,19.58,0,1.03,0,0,174.43
 72-82,0,0,3.34,4.87,0.78,46.78,0,0,9.44,12.39,3.41,0,0,27.29,1.39,0.69,1.22,735.52,0,35.64,0.57,0,3.98,80.26,13.78,0,0.91,0,0,5.28,0,0,0,0,2.25,0,0,2.24,0,309.19
 84-94,0.74,0,7.09,10.84,1.31,75.4,0,0,0.93,17.8,8.56,0,0,57.13,0.56,1.51,1.2,3131.39,6.67,23.38,0,0,0.61,141.16,43.25,0.93,3.48,0,1.68,15.28,0,0.6,0,0,6.2,0,0,0,0,580.73
 96-106,2.46,0,18.71,76.96,5.07,259.79,0,4.6,8.96,53.93,28.87,0,0,58.31,6.13,7.05,2.91,6990.33,0,100.89,2.87,2.17,9.15,796.31,38.51,8.29,9.28,0,0,54.3,0,0,1.48,0,21.41,1.85,11.41,14.15,8.98,824.38
108-118,0,0,24.94,17.86,10.91,234.52,0.68,5.55,4.12,85.42,13.48,0,3.6,42.56,5.06,9.5,3.21,16890.21,1.8,94.78,0,6.85,16.68,865.49,34.85,6.35,9.06,0,13.47,25.86,0,4.19,0,0,10.43,5.59,8.48,11.55,2.31,1215.68
120,0,0,16.34,47.77,0,114.18,0,2.55,0,46.24,10.94,0,0,109.87,1.72,4.62,1.11,9301.86,0,76.24,0,0,8.64,706.71,204.61,10.22,8.69,0,4.59,11.56,0,0,0,0,7.5,0,6.76,11.63,11.34,571.6
