stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.03,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.25,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.34,4.1,0,0,64.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.74,0,4.92,0,0,40.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.14,3.62,0,0,268.04,0,0,0,4.56,0,0,0,4.47,0,0,0,0,0
 14-21,0,0,1.05,0,4.53,0.82,2.74,0,0,0,2.37,0,0,0,0,0,0,0,0,3.36,0,0,1.13,269.38,7.27,3.78,3.31,0,0,0,0.9,13.14,0,0,5.92,77.66,0,0,6.02,0,0
 24-34,0,0,5.44,0,3.02,0,16.83,0,0,0,3.98,0,0,0,0,0,0,0,0,7.74,5.25,0,0,1927.14,1.13,26.15,4.25,0,0,0,0,0,0,0,1.42,205.64,0,0,12.42,0,0
 36-46,0,0,0,0,2.63,0,148.12,0,0,0,20.43,0,0,0,0,0,0,0,5.39,10.85,0.95,0,0,4137.46,0,11.91,1.24,0,0,1.48,0,0,0,0,0,418.46,0,1.37,5.88,0,1.73
 48-58,0,0,0.98,0,22.79,2.58,1703.47,2.14,10.89,2.24,77.01,1.61,5.24,0,0,10.22,1.04,0,0.6,42.98,0.65,7.07,11.74,7500.18,7.07,11.07,0,0,0,11.35,0,0,0.37,0.95,0,631.7,0,0,6.24,0,10.49
 60-70,0,0,1.61,0,19.71,1.65,7196.86,2.48,0,0,123.56,1.41,0.84,10.03,0,9.24,0,0,2.61,57.79,0,9.53,7.47,10672.82,0,17.38,12.64,0,0,10.82,0,0,4.8,0,0,631.82,0,0.71,24.81,0,35.62
 72-82,0,0,1.08,0,27.84,21.39,6744.54,0,6.95,3.9,171.55,0.56,0.7,2.27,0,1.59,1.32,0,0,53.1,1.48,3.67,8.84,6614.77,0,17.91,12.46,0,0,9.95,0,0,1.46,8.92,0,228.18,1.66,3.9,6.41,0.52,11.19
 84-94,0,0,0,0,43.8,7.17,4710.98,0.56,0.71,5.54,192.76,5.31,4.32,5.15,2.39,12.43,1.55,1.5,19.98,80.97,1.19,9.05,2.79,4376.5,0,19.48,0.86,0,0,2.12,0,0,0.73,0,0,190.03,3.01,2.37,3.28,1.72,28.5
 96-106,0,0,0,0,20.65,11.76,3534.12,0,0,1.63,123.32,0,2.29,3.95,0,2.54,3.08,10.04,0,62.9,0,2.69,0.62,2928.79,0,13.46,5.13,0,6.23,7.57,0,0,0.7,0,0,68.16,2.84,0,0,0.61,0.75
108-118,0,0,0,0,56.68,5.94,3158.37,0.77,3.29,4.28,107.87,0.98,2.37,9.82,1.23,3.39,0.48,8.25,4.42,49.91,1.25,13.5,2.05,3576.81,0.99,17.85,2.34,0,0,8.63,0,0,0,0,0,46.73,3.37,0,12.23,2.5,0
120,0,0,11.35,0,34.34,43.75,3078.37,10.82,6.19,0,175.06,6.14,11.62,19.89,4.46,0,1.76,6.53,1.51,51.98,2.91,0,11.29,5347.92,0,24.35,0,0,0,12.79,0,0,0,0,0,76.63,0,0,10.05,14.2,0
