stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,188.34,1.41,0,414.21,0,0,0,0,0,2.35,0,0,4.78,0,0,48.8,0,0,0,2.77,1.44,0,2.41,0,0,0
 24-34,0,39.89,0,0,325.43,3.14,0,0,0,0,0,1.98,0,0,0.69,1.16,17.97,0,0,0,22.86,0,5.89,0,0,0.61,0
 36-46,0,38.18,0,0,178.73,0.62,0,0,0,0,0,0,0,2.06,0.56,0.65,21.42,1.21,0.57,0,26.71,0,0,2.33,0,3.1,0
 48-58,0,28.77,0,0,145.18,2.28,0,0,0,0,0,0,2.49,0.59,0,0.49,9.72,0,0,0,14.13,0,0,0,0,0,0
 60-70,0,35.7,0,0,106.85,9.94,1.01,0.75,0,0,0,0,0,2.37,0,0,10.14,0,0,0,14.76,0,0,0,0,0,0
 72-82,0,7.75,0,0,94.84,1.62,0,1.01,0.65,0,0,0,0,0.96,0,0,12.19,0.56,0.79,0,4.3,0,0,0,0,0,0
 84-94,0,21.02,1.43,0,142.45,3.49,2.19,0.63,0,0.97,0,0,0,6.8,0,0.59,6.23,0,0,0,7.43,0,0,0,0,0,0
 96-106,0,14,0,0.87,135.6,0.63,0,0.76,0,0,0,0,0,3.03,0,0,3.48,0,0.92,0,31.02,0,0,3.4,1.16,0,0
108-118,0,24.97,0.72,0,173.35,2.02,3.49,0,0,0.56,0,0.84,0,4.87,0,0.48,9.78,0,1.15,0,29.04,0,0,0,0,0,1.37
120,0,34.5,0,0,159.31,0,0,1.61,0,0,0,0,0,3.33,0,0,0,0,7.95,0,22.99,0,0,0,0,0,0
