stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.13,0,0,0,0,0,0,0,9.89,0,0,0,0,8.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0,4.72,0,0,0,0,0,0
 14-21,0,1.44,0,1.2,0,2.36,0,0,0,0,0,0,0.84,0,8.41,0.8,0,0,0,0.92,1.69,1.96,0
 24-34,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,13.87,0,0,0.7,0,0,0,2.92,0
 36-46,0,0,0,0,0,2.6,0,0,0,0,0,0,0,4.68,28.98,1.19,0,0,0,0,0,1.46,0
 48-58,0,0,0.94,0,0,3.39,0.47,1.87,0,0,0,0,1.82,0.45,21.77,0,0,0,0,0,0,2.2,0
 60-70,0,0,0,0,0,2.15,0,1.83,0,0,0,0,0.58,0,8.79,0,0,0,0,0,0,8.89,0
 72-82,0,0,0,0,0,1.46,0,0,0.9,0,0,0,0.69,0,9.11,0,0,0,0,0,0,3.55,0.49
 84-94,0,0,0,0,0,0.68,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.71,0,0,0,0,0,0.71,0,0,0.86,4.2,0,14.49,0,0,5.9,0,0,0,0,0
108-118,0,0,1.46,0,5.55,2.15,0,2.47,1.1,0,0.65,0,0,0,2.72,0,0,2.66,0.79,0,0,0,0
120,0,0,1.17,0,0,0,0,0,1.14,0,0,0,0,0,15.36,0,0,1.87,0,0,0,0,0
