stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.9,0,0,1.03,0,0,1.38,0,0.86,3.04,0,0
 24-34,0,0.7,0,1.44,0,0,0,0,0,0,18.57,0,1.68,0,0,0,3.55,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.7,7.52,0,1.27,0,0,0,1.1,0,0.66
 48-58,0,0,0,0,0,5.97,0.39,0,0,0,12.85,0,0,0,0,0,0,0,0
 60-70,0,0,0,9.24,0,5.34,0,2.82,0,0,17.42,3.11,0,0,0,0,3.19,0,0
 72-82,0,0,0,4.21,0,2.19,0,3.39,0,0.54,21.06,0,3.44,0,0,0,3.52,0.72,0
 84-94,0,0,0,3.74,4.13,0,0,0,0,0,3.11,0,0,0,1.71,0,0,0,0
 96-106,0,0.62,1.65,0.99,0,9.29,0,2.36,0,0,31.11,0,1.08,0,0,0,5.14,0,0
108-118,0,0,0,1.82,0,3.89,0,5.3,2.15,0,19.08,0,0,1.79,0,0,1.53,0,0
120,0,0,0,9.85,0,1.75,0,0,0,0,12.48,0,0,0,0,0,0,0,0
