stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,immune,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,xanthophores
  5-6,8.29,11.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.37,0,0.84,0
 24-34,0,0,0,0,0,0,0,0,0,0,12.89,0,18.99,0
 36-46,0,0,0,0,0,0,0,0,0,0,56.09,0,121.88,0
 48-58,0,0,0,0,0,0,0.54,0,0,0,51.68,0,36.37,6.45
 60-70,0,0,0,0,4.75,0,0,0.88,0,0,51.07,2.91,7.33,0
 72-82,0,0,0,4.47,1.16,0,0.59,0,0,0,49.32,1.61,3.65,0
 84-94,0,0,0,8.36,7.91,0,0.77,0,0,0,51.9,10.87,5.83,0
 96-106,0,0,0.81,5.14,31.99,0,0,2.59,0.83,0,15.57,10.81,0,0
108-118,0,0,0,9.61,72.17,0.53,0,1.51,0,3.82,67.17,1.58,7.66,0
120,0,0,0,5.07,28.18,0,0,1.4,0,0,41.97,1.15,88.95,0
