stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,4.52,0,0,13.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,6.97,0,0,0
 24-34,0,8.81,0,0,0.83,0,4.49,0,0,12,0.77,0,0,0,0,0,0,0
 36-46,0.92,10.07,0,0,0,0,0,0,0,1.27,0,0,0,0,0,1.09,0,0
 48-58,0,16.66,0,0,0,0.73,0.4,0,0.51,1.75,0,0.51,0.94,0,0,0.38,0,0
 60-70,0,20.65,0,0,0,0.8,0,0,0.95,2.66,0,0,0,0,0,0,0,0
 72-82,0,10.33,1.15,0,0,1.56,0,3.41,6.88,2.15,0,0.61,0,3.78,0,2.67,0,0
 84-94,0,14.62,0,0,0,1.84,0,6.79,4.75,0,0,0,0,0,0,0,0.63,0
 96-106,1.28,2.37,0,0,0,0,0,0,5.95,1.83,0,0,0.76,13.82,0,0,0,4.58
108-118,0.63,3.67,0,0,0,0,0,5.02,4.93,2.67,0,0.74,0,12.44,0,0,0,1.69
120,0,3.75,0,1.05,0,0,0,6.53,4.82,0,0,0,0,3.53,0,0,0,0
