stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,153.14,2155.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.43,0,0,0,0,0,0
  5-6,71.96,816.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.24,20.07,0,0,44.65,0,0,0,0,0,0
  7-9,3.82,6.72,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,103.73,0,0,22.01,0,4.3,0,0,0,0,0
 10-12,0,0,0,4.26,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,27.91,0,0,13,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.02,0,1.32,0,0,1.32,0,0,0,0,0,0,1.14,2.4,23.75,0,0,0,0,0,0,8.14,0,0,0
 24-34,0,0,0,0,0.68,0,0.6,0,0,0,0,0.82,0,0,0,0,1.36,2.33,24.41,0.81,1.22,0,2.31,0.86,0,0.89,0,0,0
 36-46,0,0,0,0,0,0,1.48,0,0,1.45,0,0,0,0,0,0,0,0,17.82,0,0.93,0,0,1.69,0,3.78,0,0,5.34
 48-58,0,0,0,0,1.26,0,0.44,0,0,0.97,0,0,0,0,0,0,2.49,4.78,7.89,0,1.2,0,0,0.56,0,3.12,0,0.37,0
 60-70,0,0,0,0,0,0,8.76,0,0,2.07,0.81,0,0,0,0,0,1.32,4.67,21.69,0,0,0,0,0,0,2.56,0,0,0
 72-82,0,0,0,0,0,0,4.31,2,0.77,1.07,23.75,0,0,0,0,0,26.33,17.84,16.69,0,0,0,0,0.85,0,3.04,1.36,2.6,0
 84-94,0,0,0,0,2.34,0,4.01,0,0,0,29.45,0,0,0,0,0,24.11,9.05,23.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.18,0,2.99,1.92,14.85,0,0,4.71,189,0,0.59,0,0,0,31.12,22.95,39.89,0,0,0,0,1.39,0.89,4.02,0,0,0
108-118,0,0,0.6,1.47,0.47,0,31.09,0,0,4.64,382.3,0,0,0.46,0,0.61,37.5,9.27,55.73,0,1.5,0,2.04,1.33,0.61,0,0,0,0
120,0,0,0,0,3.37,1.69,13.03,0,0,0,330.08,0,0,0,11.36,6.69,52.97,0,22.31,0,0,0,11.98,1.53,0,0,0,0,0
