stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,245.62,6788.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.36,0,0,0,0,0,0,0,0
  5-6,142.95,2079.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.71,0,0,0,0,7.36,0,0,0,0,0,0,0,0
  7-9,6.6,4.3,0,0,0,9.73,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,62.22,0,0,0,28.29,12.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.61,0,0,0,4.86,13.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,50.21,0,2.32,0,0,1.23,2,0.87,0,0,12.16,0,0,0,1.95,0.99,0,0,5.35,0,0,0.94,0,194.16,0.98,2.48,0,1,1.65,0,0,0
 24-34,0,0,0,21.63,0,3.33,2.37,0,0,1.36,2.59,1.45,0,32.81,0.65,0,0,0.69,5.6,0,4.49,41.61,0,12.85,2.33,0,243.95,0,5.95,0,0,2.68,0,1.58,0
 36-46,0,0,0,9.97,0,2.31,1.95,0,0,0,0,0,0,10.18,1.74,0,3.85,0.65,6.93,0,0,39.28,0,17.71,0.84,0,300.75,0,3.58,0,0,3.41,0,0,0
 48-58,0,0,0,6.39,0.67,6.48,2.8,0,0,0.57,5.13,0,0.56,13.43,1.18,0,0,3.55,4.53,0,4.53,41.25,0,6.81,0.89,0,107.6,0,0,0,0,2.12,0,0,0
 60-70,0,0,0,4.39,0,6.79,1.24,0,3.06,1.27,0.78,0,1.17,6.55,1.2,0,0,1.17,0.73,0,0,23.96,0,6.18,0,0,96.42,0,1.52,0,0,0,0,0,0.59
 72-82,0,0,2.55,6.84,4.63,10.66,1.98,0,2.65,9.15,0,0,0.55,9.4,1.06,0,1.78,0,4.71,0,0,14.31,0,12.92,2.5,0,87.71,0,1.3,1.5,0,4.13,4.71,0,0
 84-94,0,0,6.61,32.04,0,0,9.99,0,0,10.61,4.34,0,0.69,17.79,0,0,0,0,5.09,0,1.76,13.92,0,12.52,0.91,0,163.04,0,1.48,0,0,5.81,5.2,0,0
 96-106,0,0,0.95,29.38,0,1.12,4.2,1.12,1.08,9.59,0,0,0.84,9.25,6.5,0,0,0,14.68,0,0,10.26,0,8.9,2.69,0,195.77,0,0.71,0,0,0,8.53,8.5,0.81
108-118,0,0,1,29.6,0,10.96,8.18,0,0,14.09,0,0,0.75,19.01,2.52,2.45,5.1,3.42,9.05,0,0,21.97,0,5.12,3.64,0,167.77,0,1.52,0,0,0.47,11.52,0,0
120,0,0,0,51.62,0,0,5.05,0,0,22.13,0,0,1.19,11.19,1.74,5.02,0,0,1.49,7.65,0,21.23,4.62,4.03,0,0,95.84,0,4.33,0,0,0,3.83,0,0
