stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,0,0,0,0,0
 14-21,0,1.14,1.94,0,0,0,0,0,0,0,48.86,0,0,24.97,0,2.46,12.08,0,0,0,0,2.42,0,0,0
 24-34,0,0,0,0.87,0,0,0,0,1.64,0,80.52,0,1.92,17.29,0,6.78,22.72,0,0,0,2.8,5.3,0,0,0
 36-46,0,0,0,0,0,0,0.68,2.95,0,0,120.82,0,4.07,2.18,0.89,4.45,37.59,0,7.92,0,0,2.17,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.24,0,27.54,0,2.22,5.29,0,7.08,11.13,0.52,0.61,0,0,3.49,0,0,0
 60-70,0,0,0,0,0,15.72,1.28,2.56,1.92,0,28.26,0,0,9.74,0,2.02,8.59,0,0,2.37,0,1.18,0,0,0
 72-82,0,0,0,0,0,3.79,4.4,0,3.64,0,6.26,0,0,22.57,3.5,2.98,3.92,0,0,0,0,0,0.76,4.61,0
 84-94,0,0,0,0,0,7.62,22.33,0.81,0,0.81,15.67,0,0,4.86,4.89,2.72,2.05,1.21,0,0,1.47,0,1.15,0,0
 96-106,0,0,0,0,0,24.43,26.46,0,0,0,28.96,0.56,0,5,0.84,0,2.4,0,0,0,0,0,3.11,0,14.5
108-118,0,0,0,0,2.69,6.78,24.88,0,0,0,24.12,0,0,11.3,0.71,0,9.79,1.88,0,0.61,0,0,5.7,0,1.22
120,0,0,5.59,0,0,0,34.68,0,0,0,6.43,0,0,14.08,0,5.89,11.32,0,0,0,0,0,0,0,3.95
