stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.64,0,0,0.91,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,1.25,0,0,1.09,0,0,0,0,27.21,0,13.35,0,0,0,0,0,0,0
 24-34,0,0,0.76,3.94,0.6,0,4.22,0,0,0,1.07,0,0,0,0,105.28,0,0,0,0,3.51,15.59,0,2.17,18.6,0.81,2.77,0.99,0,33.94,0,97.17,1.75,4.18,0,0,1.5,0,7.52
 36-46,0,0,0,15.32,0,0,1.33,0,4.97,0,0,0,6.77,0,0,83.74,0,0,7.09,4.05,4.62,3.81,0,2.16,6.9,10.64,0.83,0,0,67.54,0.68,50.32,1.49,6.03,0,0,0,0,9.5
 48-58,0,0,0,10.5,0,0,10.23,0.72,1.71,2.03,0.81,0.97,1.09,0,0,37.04,0,5.43,2.1,2.18,6.03,19.73,0,0,17.4,0,0.44,0,0,26.88,0,26.04,0.4,16.84,0,0,5.36,0,33.92
 60-70,0,0,0,9.78,0,0,9.45,0,1.66,7.07,2.48,3.04,0,0,0.72,19.9,5.67,0,2.56,0,11.08,3.63,0.59,0,20.94,0,0,1.85,0,59.76,0,38.06,3.35,10.46,0.77,2.56,5.43,0.89,22.69
 72-82,0,1.51,0,12.08,2.4,0,45.76,0,4.15,0.77,6.12,3.34,0,0,0.87,17.07,1.86,0.57,1.24,3.14,12.27,4.88,0,1.27,27.6,0.51,2.76,5.26,3.06,25.49,0,46.27,0,4.01,1.16,0.57,3.86,0,15.71
 84-94,0,0,0,20.99,0,0,30.18,0,4.59,1.51,9.84,15.41,3.65,0,5.97,23.64,5.81,0,3.44,0.96,24.21,19.19,4.23,0,25.75,0,3.07,10.7,0,87.69,0,106.4,0.97,3.53,0,0,9.7,0,31.25
 96-106,0,2.46,0,30.59,1.27,1.07,76.28,0,8.3,1.52,23.4,23.47,0,0,10.73,24.12,1.96,1.92,4.25,1.59,21.74,19,0,0.67,54.98,0,8.23,13.6,0,80.72,0,77.86,0,7.36,0.8,1.48,3.02,0,18.5
108-118,0,0.6,0,29.21,0.58,1.66,70.85,0.51,4.06,0.86,5.35,39.24,0,0,7.62,28.24,4.45,0,18.25,12.15,25.83,16.51,0.94,1.01,24.4,0,1.84,19.64,0,68.63,0,69.44,0.94,1.17,3.98,0,9.04,0,37.51
120,0,1.22,0,27.96,1.47,0,36.5,0,3.59,0,15.67,43.18,0,4.89,15.67,14.32,11.77,4.65,8.7,12.92,34.66,4.8,22.45,0,65.45,0,0,12.19,0,64.84,0,57.36,0,0,4.46,0,5.94,0,3.58
