stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,41.33,517.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,371.21,0,0,0,0,0,0,0,0,48.41,0,0,11.86,0,0,0,0
  7-9,0,19.09,7.64,0,16.1,0,0,0,0,0,233.93,3.69,115.18,3.63,0,0,0,0
 10-12,0,0,32.09,0,38.13,0,4.72,0,0,0,367.39,0,114.65,0,18.93,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.29,0,0,1.74,0,0,13.15,0,0,0,0,2.34,0,1.42
 36-46,0,0,0,0,4.49,0,0,0,0,0,6.64,0,0,0,0,2,0,0
 48-58,0,0,0,0,10.32,0,0,0.65,0,5.23,27,0,0,0,0,0.57,0,2.68
 60-70,0,0,0,0,9.21,0,0,0.87,5.32,0,20.2,0,0,0,0,1.2,0.61,2.57
 72-82,0,0,0,0,1.92,0,0,0,0,0,18.34,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.87,0,0,8.63,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.41,3.39,0,0,0,0,3.36,0,0,0,0,0,0,0
120,0,0,0,3.41,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0
