stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,520.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0
  5-6,13.13,138.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.34,0,0,0,29.62,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.88,0,0,0,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.19,14.54,0,0,12.35,0,0,0,0,8.76,0,0,0,0,0,0
 14-21,0,0,0,0.94,5.08,0,0,6.51,0,0,0,0,0,0.98,0,0,0,0,0,0,0,5.93,0,0,2.57,50.94,3.58,0,0,0,0,4.85,1.12,3.58,0,4.87,7.6,0,0,0,0
 24-34,0,0,0,0,6.4,0.81,0,8.27,0,0,0,1.16,1.02,0.81,2.2,0.77,0.6,0,0,0,0,14.29,0,0,5.55,98.35,1.43,2.22,0.71,1,0,19.13,0,0,0,1.01,34.66,0,0,2.56,2.27
 36-46,0,0,0,0,15.17,0,0,9.6,1.2,0.66,1.54,1.82,0,0,0,0,0,1.88,0,0,0.77,35.71,0,0,4.61,120.63,2.47,1.62,0,0,0,18.37,0,0,0,0,24.55,0,0,2.93,5.89
 48-58,0,0,0,0,10.86,0,0,31.22,0,0,1.41,10.24,0,0,0.55,3.66,0,0.39,0,0.39,0.7,32.64,0,0.99,4.82,201.01,0,0,0,0,0.39,30.81,0,0,0.38,0,56.72,0,0,5.88,2.54
 60-70,0,0,0.89,0,4.78,0,0,34.15,0.83,0,5.67,9.09,1.35,0,0.88,0,0,0.61,0,1.51,0.72,29.27,0,0,2.59,122.12,9.27,0,0.82,0,0,8.92,0,0,0,0,35.16,0,0,2.93,0.77
 72-82,0,0,0,0,1.02,5,0,80,0,0,1.14,31.67,2.04,0,0,1.62,1.45,4.09,0.74,3.08,0,29.76,0,1.32,5.57,133.15,0,1.65,0.66,0,0,3.78,0,0,0,0,15.98,1.44,1.54,2.92,6.55
 84-94,0,0,1.2,0,5.69,0,0.6,38.78,0,0.66,5.77,13.98,1.23,0,0,3.84,0,0.75,0,1.84,0,34.49,0,5.08,4.62,94.76,0,0.64,2.27,0,1.65,11.22,0,0,1.81,0,16.03,0,1.95,1.98,2.11
 96-106,0,0,0,0,12.97,0,0.59,43.47,2.82,0,2.29,18.77,5.2,0,1.62,0.69,8.53,2.18,0,5.29,0,25.5,1.41,0.56,3.4,106.41,1.14,2.98,10.22,0,0,19.73,0,0,0,0,14.44,2.83,0,4.91,1.55
108-118,0,0,0,0,13.42,1.73,1.17,63.84,0,3.89,0,21.45,4.52,0,0,2.54,5.78,5.32,1.14,7.73,1.87,28.46,0,2.89,0,105.19,2.01,1.92,5.15,0,1,10.73,0,0,2.8,0,5.88,0,0,3.52,4.79
120,0,0,3.99,0,4.96,4.11,0,92.26,0,0,0,23.2,6,0,0,0,1.4,0,0,2.56,0,18.27,1.1,0,0,237.6,0,2.88,0,0,0,15.54,0,0,3.97,0,0,0,7.86,4.3,1.64
