stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,117.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.53,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,44.08,0,0,0,53.42,0,0,0,0,0,0,0
 10-12,0,7.46,0,0,3.11,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,121.99,4.38,0,0,30.23,0,0,0,0,0,0,0
 14-21,0,1.83,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,4.96,12.63,5.3,0,0,0,9.32,0,3.4,0,2.09,0,0
 24-34,0,0,1.51,0,2.22,0,0,1.29,0,0,0,0,0.72,0,1.93,0,5.74,0,0,5.75,27.23,2.73,0,0,0,16.55,1.52,10.66,0,4.32,0,0
 36-46,0,0,6.07,0,2.05,0,0,4.18,0,0,0,0,0,0,0,3.67,12.03,0,0,1.64,14.54,2.89,0,0,0,10.61,0,11.16,0,12.32,0,0.71
 48-58,0,0,3.42,0,5.51,0.38,0,3.43,0,0,0,1.21,0,0,0,0.78,16.13,0,0,0.38,6.31,0,0.93,1.85,0,5.17,0,12.39,0,2.33,0,0
 60-70,0,0,0.62,0,10.35,0,0.85,18.44,0,0,0.88,0,0,2.21,0,2.78,28.19,0,0,0.99,10.38,0,0,1.12,0,4.83,0,2.73,0.84,1.54,0,2.21
 72-82,0,0,1.13,0,7.11,0,0.89,31.79,0,0,0,1.65,0,0,0,0,30.06,0.56,0,3.12,2.75,0.53,1.08,0,0,3.05,0,1.65,0.85,8.08,0,1.6
 84-94,0,0,0.95,0,3.9,3.48,0,16.86,5.31,0,0,5.41,0.68,0,0,0,18.83,0,4.59,0,2.53,0.57,0,0.65,0,4.77,0,0,0.84,4.62,2.77,0
 96-106,0,0,3.46,2.48,7.14,0,0,11.2,1.67,0,0.78,5.07,0,0,0,0.71,19.79,0,0,0,16.92,0,0,0.63,0,6.16,0,0,1.88,5.98,0,0
108-118,0,0,1.36,0,3.1,0,0,20.18,2.26,0,0,1.6,0,0,1.99,0,26.01,0.7,0,0,8.06,0,0,0,0,13.31,0,0,1.4,8.52,0,0
120,0,0,1.09,0,0,0,0,43.22,0,0,0,0,0,2.98,0,0,35.55,0,2.18,3.92,10.63,0,0,1.25,0,2.18,0,0,1.56,11.52,0,0
