stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,104.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.72,39.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.05,0,0,0,7.56,0,0,17.22,0,0,0,0,0,0,80.89,0,0,18.11,0,0,0,0,0,0
 10-12,0,5.21,0,49.45,0,0,0,14.34,0,0,0,0,0,0,0,0,0,321.05,0,0,0,0,5.44,0,0,0,0
 14-21,0,0,0,0,1.96,0,0,0.87,0,0,0,0,0.92,0,0,0,0,6.72,0,0,0,0,0,1.36,1.63,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,3.07,0,3.25,1,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0.72,0,0,0,19.65,4.02,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.96,0.45,0.5,0,0,0,5.15,0,0.84,0,2.85,0.8,0,0,0,0,0,0,0,0
 60-70,0,0,0.82,0,0.9,0,2.15,8.43,1.72,0,0,0,0,1.39,0,0,0,19.28,4.17,2.05,0,0,0,0,2.56,0,0
 72-82,0,0,10.12,0,0,0.54,0,31.09,0,16.9,0,1.85,0,3.51,0,1.82,0,8.05,5.02,13.64,0,0,0.63,0,0,0.94,0.72
 84-94,0,0,3.77,0,0,0,0.87,33.48,0,42.93,0,1.56,0,23.68,6.88,0,0,1.41,13.2,16.25,0,0,0.56,0,0,0,0
 96-106,0,0,9.62,0,0.77,0,0,55.16,0,28.38,0,0,0.66,9.11,1.99,0,0,2.5,21.34,12.3,0,1.25,0.77,0,0,0,0
108-118,0,0,0.98,0,4.83,2.21,18.37,75.19,3.93,36.41,0,0.47,0.47,8.44,1.18,0.55,0.47,8.79,15.09,24.38,0,2.64,0.47,0,0,0,0
120,0,0,3.73,0,21.52,0,0,115.9,0,39.5,0,0,0,0,0,0,0,11.67,39.41,37.1,0,0,0,0,0,0,0
