stage,blastomeres,epidermis,eye,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,23.69,0,0,0,0,0,0,0,0,0,22.53,0,0,0,0
  5-6,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.62,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.22,0,0,6.03,0,0,0
 14-21,0,0,0,0,0,0,3.49,0,1.89,7.4,0,0,0.95,2.12,0.89
 24-34,0,0,0,6.68,0,0,0,7.99,0,0,0,0,0,0,0.94
 36-46,0,0,0,0,0,0,1.09,0.96,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0
 72-82,0,0,0.69,0,0,0,0.65,0,0,0,0,0,0,0,0
 84-94,0,0.66,0,0,1.4,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.6,0,0,3.36,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.07,0,0,0,0,0,0,0.42,0,0,0
120,0,0,0,5.1,0,0,4.64,0,0,0,0,0,0,0,4.04
