stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.62,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.42,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.9,0,0,0,7.48,0,0,0,0,15.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.44,1764.74,29.06,0,315.63,0,0,0,0,0,0.95,0,0,0,3.9,5.64,0,6.62,21.39,12.07,0,2.8,2.14,0,12.77,1.53,7.85,2.09,1.54,8.92,4.59,0,0,10.64,0,0
 24-34,0,0,0,0,809.28,0.79,1.75,1203.66,0,0,0,1,5.14,0,0,0,0,0,0,0,0,56.38,7.24,1.82,0,0,0,9.2,0,0,0,0,1.41,6.73,0,0,9.83,0,0
 36-46,0,0,0,0,225.93,0,5.15,485.69,0,0,0,0,0,1.57,1.23,0,0,9.81,1.45,0,0.74,34.88,0,3.17,0,0,0,41.86,0,0,0,0,0,4.3,0,0,12.25,0,0
 48-58,0,0,0,0,186.46,0,16.72,397.85,0,2.8,0,1.13,0,15.29,0,8.01,0,3.29,4.55,0.46,0,60.12,0,1.52,0,0,0,28.34,0,0,0,0,0,6.06,0,0,1.82,0,0
 60-70,0,0,0,0,197.46,0.69,8.88,297.96,2.42,0.59,0,0,0,109.23,0,0,0,0,0.86,0,0,37.57,0,0,0,0,0,25.04,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.75,113.85,0.54,31.99,187.99,2.13,1.59,0,0,0,83.45,0,0,0,9.53,0.59,0,0,62.7,0,1.21,0,0,0,9.9,0,0,0.66,0,0,2.3,3.26,1.24,8.79,0,0
 84-94,0,0,2.22,0,232.06,0.63,8.37,426.71,0,0.68,8.32,0,0,421.21,0.62,0,0,2.83,6.35,0,3.44,62.11,0,0,0,0,2.68,32.88,0,0,0,0,0,2.95,15.12,0,1.77,0,2.12
 96-106,0,0,0.6,0,182.8,0,9.48,322.05,0,4.19,3.07,0,5.89,159.5,0,1.11,0,6.17,6.95,0,0,53.17,0,0.96,0,0,1.04,32.41,0,0,0,0,0,5.14,6.4,0,2.96,2.72,0
108-118,0,0,0,0.45,158.04,0,19.48,401.56,1.64,1.62,4.94,0.43,0,201.2,0,0,0,2.79,0.47,0,9.41,52.96,0,1.74,0,0,5.3,9.6,0,0,1.5,0,0,0,21.77,0,1.5,0,0
120,0,0,0,0,120.39,0,0,291.67,0,0,21.74,0,0,72.17,0,2.61,6.84,7.06,0,0,0,51.22,0,1.46,0,0,0,7.55,0,0,0,0,0,0,6.06,0,0,0,0
