stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,753.07,10181.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.5,0,0,0,0,0,0,0
  5-6,2773.34,27460.13,88.17,0,0,0,0,0,0,0,0,0,44.15,0,0,0,0,0,0,0,0,0,1055.59,56.32,0,0,186,775.47,0,0,0,0,0,0,0
  7-9,579.55,1095.6,2070.02,0,20.85,0,3691.24,0,0,0,0,0,1538.28,0,0,0,0,0,0,0,0,0,37373.39,781.18,0,0,14508.5,57.11,164.12,0,0,0,0,0,0
 10-12,0,596.04,616.45,0,153.22,0,1213.09,0,0,0,0,0,199.02,0,0,0,0,0,0,0,0,0,14689.56,230.38,0,0,5614.65,24.95,42.07,30.48,463.3,16.72,9.39,0,0
 14-21,0,0,2.76,7.74,1.02,0,6.18,0,0,0,4.05,0.85,0,0,0,0,0,0,3.43,1.09,0,4.18,116.22,0.84,0,0,2.54,4.76,0,8.55,0,1.02,43.88,1.2,9.35
 24-34,0,0,0.59,4.74,0,0,43.04,0,0,0,1.28,0,0,1.13,0,0.68,0,0,22.09,0,0,5.95,383.4,0,1.62,1.91,0,3.49,0,0,0,0.7,82.98,4.49,0
 36-46,0,0,0,2.01,0,0,114.02,0,0,0,3.9,0,0,0,0,0,4.15,0,22.29,0,0,5.28,253.9,10.8,0,0,0,2.08,0,0,0,0,60.75,0,1.26
 48-58,0,0,0,2.49,4.47,0,154.06,0,4.37,0.41,5.09,3.21,0,0,0,0,0,2.84,37.5,0,3.43,2.61,155.35,0.56,0,0.59,0,0.68,0,0,0,0,18.78,0,0
 60-70,0,0,0,14.54,5.21,0,130.41,0,0,0,25.63,0,0,0,0,0,0,0,28.04,0,0,3.98,110.87,0,0,0,0,0,0,0,0,0,8.95,0,0
 72-82,0,0,0,0,0,0,32.9,0.57,0,0,4.12,0.84,0,0,0.63,0,0,0,8.47,0,6.94,0.74,20.39,0,1.62,0,0,0.5,0,0,0,0,0,0,0
 84-94,0,0,0,4.04,0,1.17,28.04,0,0,1.95,3.15,0,0,0,0,0,0,0,7.47,0,1.4,0.76,28,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,11.54,0,0,0,5.06,0,0,0,0.56,0,0,0,4.11,0,0,0,26.44,0,0,0.74,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.86,0.44,0,15.88,0,0,0,4.88,0,0,0,0,0.81,0.66,0,10.68,0,0,0,27.08,0,0.42,2.87,0,0,0,0,0,0,0.62,0.69,0
120,0,0,0,0,2.59,0,20.48,0,0,0,5.39,0,0,0,1.63,0,0,0,4.85,0,0,0,41.51,0,0,0,0,0,0,0,0,0,0,0,0
