stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.81,179.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.55,502.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,20.6,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74,0,0,0,33.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.4,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,134.08,0,0,0,3.26,0,12.59,0,15.86,0,0,0,0,0
 24-34,0,0,0.71,3.93,0,0.98,0,0,0.8,19.55,0,0,0.65,0,0,0,2.14,0,0,0.99,301.56,0,3.23,0,0,0,0,0,69.98,0,0,3.18,0,1.12
 36-46,0,0,0,0.62,0,15.5,0,0,0,35.87,0,0,0,0,0,0,0.63,0,0,0,358.49,0,1.09,0.67,0,2.78,0,0,117.01,0,0,0,0,0
 48-58,0,0,0,6.08,0,149.43,0,1.85,0,157.73,0,0,0,0,0,0,19.83,0.65,0.94,1.18,477.46,0,0,1.14,0,2.43,0,0,97.27,0,0,6.33,0,0
 60-70,0,0,0,9.79,0,486.01,0,0,0,400.98,0,1.6,0,3.44,0,2.53,9.15,0,0,0.81,859.12,0,0,1.58,0,3.82,0,0,104.5,0,0,0,0,12.01
 72-82,0,0,0,2.36,1.91,917.27,0,0,1.05,597.33,2.61,5.07,0.83,0.57,5.79,0,19.74,0,0,4.41,1077.68,0,0,10.94,0,2.96,0,0,56.89,0,0.52,3.22,0,3.43
 84-94,0,0,0,14.38,1.79,625.88,0.88,0,0,469.53,4.14,0,0.58,2.29,0,0,18.36,0,0.72,2.95,827.95,0,4.94,9.57,0,10.4,0,0,40.98,0,0,1.22,1.94,9.43
 96-106,0,0,0,4.28,12.85,698.61,0,0,1.65,540.24,1.48,1.04,0,1.63,1.42,15.65,27.93,1.5,10.72,3.6,901.73,0.57,1.14,11.65,0,5.48,0,0,13.47,1.13,0.78,0,0,0
108-118,0,0,0,6.98,0,744.7,0,0,0,442.53,0.43,0,0,0,2.07,0,33.23,0,4.62,2.79,969.9,0,1.17,14.41,0,13.59,0,0.84,18.8,1.35,0,0,0,0.83
120,0,0,0,6.07,0,874.92,0,0,0,982.94,0,2.37,0,8.03,0,0,44.43,0,0,2.38,1512.93,0,2,15.16,0,4.98,0,3.15,83.61,0,0,0,0,8.45
