stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.32,59.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.17,4.19,0,0,76.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.04,0,0,0,21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.45,9.76,0,0,107.77,0,0,0,49.51,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,9.22,6.41,8.94,0,1.16,0,6.51,0.82,0,0,0,0,0,12.06,0,0,1.17,252.1,0,2.96,0,2.42,0,1.01,3.33,0,0,4.69,76.19,0,0,0,0,0
 24-34,0,0,0.86,4.42,0,19.48,0,0,0.62,6.61,0,3.78,0,0,0,0,3.25,0,0,4.04,609.07,0,10.8,3.95,0,0,3.72,0,0,0,1.35,243.01,0,0,0,0,0
 36-46,0,0,0,0,0,36.13,0.68,0,0,19.22,0,0,0,0,0.91,0,3.76,0,0,1.42,1311.37,0,1.77,1.2,16.41,0,1.05,0,0,0,0,433.72,0,0,0,0,0
 48-58,0,0,0,4.6,0,183.34,0,0.42,0,25.4,0,0.55,0,0,1.69,6.39,15.5,0,0,1.44,1896.16,0,3.09,1.49,0,0,6.76,0,0,1.96,0,429.1,0,0,1.5,0,6.99
 60-70,0,0,0,6.93,0,626.52,1,0,0,65.58,0,0,0,0,0,0,9.47,0,0,0.71,2501.01,6.52,0.84,0,0,0,0.81,0,0,0,0,421.1,0,0.99,0,0,11.22
 72-82,0,0,0,18.57,1.34,1081.16,7.95,0.5,4.81,102.24,0,0,3.96,0,0,0,25.6,1.45,6.78,8.47,3405.66,0,0.86,3.79,0,0,1.6,0,0,0,0,294.43,0,3.12,1,0,3.56
 84-94,0,0,0,12.35,0,868.41,5.18,0,0,52.82,0,0,0.75,8.39,0,0,18.01,0,0.6,11.76,2017.04,0,0.71,2.03,0,0,5.05,0,0,0,0,241.33,0,2.12,0,1.23,0
 96-106,0,0,0,19.3,14.98,778.9,6.13,2.05,0,82.57,0,0,2.57,0,0,0,33.2,0,4.47,1.56,2034.43,0.62,0.7,0.59,0,1.82,3.38,0,0,9.08,0,107.93,0,0,2.9,0.76,0
108-118,0,0,0,18.4,7.3,831.89,4.68,0,0,90.7,0.43,0,1.47,1.25,0,0,28.61,0,0.83,5.68,2359.63,0,0,5.43,0,0,1.69,0,0,0.41,0,103.7,1.38,0,5.47,0.57,0.49
120,0,0,0,25.35,0,989.29,2.94,1.21,5.77,145.29,1.68,0,0,0,0,0,56.33,0,17.97,5.94,3637.47,4.18,5.07,0,0,0,3.23,0,0,0,0,209.21,0,0,0,0,0
