stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,40.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0
 14-21,0,1,9.38,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0
 24-34,0,0,13.33,0,1.53,3.01,0.71,0,0,0,0,0,3.21,0,0,0,0
 36-46,0,0,24.41,0,0,0,0,0,0,1.4,0,0,0.84,0,0,0,0
 48-58,0,0,0.44,0,0,6.07,0,0,0,0.74,0,0,1.48,0,0,4.25,1.11
 60-70,0,0,0.73,0,9.45,4.82,0,0,0,0,0,0,11.06,0,0,0,0
 72-82,0,0,2.05,0,3.96,7.72,4.25,0,0,1.69,0.96,0,4.08,0,0,0,0
 84-94,0,0,0.55,0,6.09,0,6.04,0,4.17,1.53,0,0,2.93,1.52,0,0,0
 96-106,0,0,0.57,0,1.73,0,5.84,0,0,7.05,0,7.39,8.31,0,0,3.69,0
108-118,0,0,1.14,3.16,8.93,3.31,7.83,0,0,0,0,0,0,0,0,0.85,0
120,0,0,0,0,2.62,1.17,4.67,4.52,0,0,0,0,0,0,0,0,0
