stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,3.08,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,26.9,0,0,0,5.36,0,0,0,0,0,0,0,3.94,0,0,0,5.06,0,0,0,0,0,0,1.68,2.69,0,0,0,0,0
 24-34,0,0,0,151.7,0,2.65,0,289.23,0.78,0,0,0,0,0,0,2.61,2.02,0,0,33.81,0,0,0.88,0,0,0.69,0.71,5.82,0,0,0.77,0,0
 36-46,0,0,0,9.37,0,2.42,0,586.03,1.66,3.79,0,0,0,0,0,1.46,0,0,1.58,24.74,0,0.87,0,0,0,8.47,0,5.2,0,0,0,0,0
 48-58,0,0,0,7.27,0,6.95,0,472.68,4.53,1.43,0,0,0,0,0,12.42,0,0.52,0,36.08,0,0,0,0,0.4,0,0,10.62,0,0,0,0,0
 60-70,0.81,0,0,4.02,0,8.21,0,460.4,0.96,4.23,0,0,0,0,0,30.48,0,0.63,9.39,37.8,0,0,0,0,0,0,0,2.65,0,1.22,0,0,0
 72-82,0,0,0,1.74,0,11.6,0,399.11,13.06,13.18,0,0.89,0,0,0,49.48,0,3.88,12.09,38.65,2.7,1.46,0,0,0,1.51,0,1.56,0,0,0,0.56,5.08
 84-94,0,0,0,3.25,0,4.96,0,926.02,0.87,2.01,0,0,0,0,0,64.7,0,0.89,10.87,7.04,0,0,1.22,0,0,8.35,0,0.98,0.83,1.24,0,0.84,0
 96-106,0,0,0,4.49,0,31.27,0.9,770.03,13.62,47.23,1.04,4.21,2.23,0,4.22,133.26,0,21.56,12.01,40.38,0,0,0,0,0,5.75,0,18.18,0,0,7.5,0,5.57
108-118,0,0,0,12.95,0.55,2.86,0,1223.08,2.72,26.02,0,0,0.74,0,1.54,99.69,0,3.96,14.5,64.28,0,2.11,1.09,0,0,2.17,0,3.58,0,1.16,2.21,0,7.66
120,0,0,0,11.75,0,26.24,1.18,815.54,8.1,66.89,1.33,0,0,1.06,0,93.43,0,6.75,23.08,33.03,1.45,0,0,0,0,4.99,0,2.78,0,0,0,0,0
