stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.72,105.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54,0,0,0,0,0,0,0,0,0,0
  5-6,0,238.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.8,29.28,0,42.53,0,0,140.22,0,0,0,0,27.41,0,0,0,0,0,0,0,0,0,630.12,14.33,0,0,169.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.03,0,0,0,40.7,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.49,1.75,11.19,0,0,1.71,0,0,0,0,0.97,0,0,5.34,0,0,0.83,39.82,2.4,0,0,0,0,0,0,2,0,0,2.05,11.8,0,0,0,0
 24-34,0,0,0,0,1,0.64,8.69,0,0,0.98,0,0,0,0,0.72,0,0,8.29,0,0,3.97,181.6,0,0.67,2.45,0,0,8.53,0,0,0,0.62,0.74,42.67,0,10.18,0,0
 36-46,0,0,0,0,0,0,35.24,0,0,11.79,0,0,0,0,0,0,0,5.7,0,0,3.94,91.57,0,0,0,0,0,0.64,0,0,0,0,1.38,13.64,0,0.58,0,0
 48-58,0,0,0,0,1.83,0,86.82,0,0.97,18.2,0.49,0,0,0.42,0,0.63,0.56,35.11,0,0.47,4.55,199.63,0,4.74,0.43,0,0,0,0,0,0,0,0,49.07,0.64,4.3,0,5.28
 60-70,0,0,0,0,0.77,0,114.61,0,0,21.58,1.93,0.63,0,0,0,5.39,0,24.1,0,2.22,3.81,179.88,0,6.05,1.78,0,1.92,8.83,0,0,0,0,0,44.7,0,0.78,0,0
 72-82,0,0,0,0,3.31,0,40.58,1.29,0.69,3,2.22,0,0,0.61,0.61,0,0.81,9.48,0,0,0,83.75,0,0,0.56,0,0,0.62,0,0,0,0,0,6.13,0,3.07,0,5.65
 84-94,0,0,0,0,0.76,0,33.55,0,0,5.16,0,0,0,0,0,0,0,11.07,0,0,0.64,49.18,0,1.58,0,0,0,0,0,0,0,0,0,0,1.05,2.64,0.6,0
 96-106,0,0,0.91,1.03,3.42,0,98.5,0,0,12.48,1.14,0,0.71,1.53,0,0,0,28.37,0.77,1.72,2.23,124.41,2.62,0,1.94,0,0,1.95,1.35,0,0.7,0,0,16.29,0,0,0,0
108-118,0,0,0,0,3.99,0.98,5.98,0,0,8.86,0,0,0,0.48,0,0,0.94,1.92,0,0,1.15,48.07,0,1.43,0,0,0,1.82,0,0,0,0,0,4.45,0,0.42,0,0
120,0,0,0,0,1.16,3.89,88.04,0,6.89,32.41,3.82,0,5.02,0,0,0,3.58,14.93,0,2.18,2.28,133.07,0,0,0,0,0,1.08,0,0,1.66,0,0,0,0,0,0,0
